6	tt14122238:-	tt14304190:-	tt14356208:-	
1	tt3716858:5.7	tt3716862:5.8	tt3716864:6.3	tt3716868:6.3	tt3716872:6.7	tt3716874:7.0	tt3716876:7.1	tt7186954:-	tt7186962:-	
2	tt4764874:6.7	tt4764876:6.4	tt4765620:6.3	tt4765648:7.2	tt4765652:6.3	tt4883996:6.8	tt4884002:6.8	tt4884036:7.4	
3	tt5910706:6.6	tt5910720:6.6	tt5910738:5.7	tt5925928:7.2	tt5925930:-	tt5952608:-	tt5952616:5.6	tt6000740:6.2	
4	tt6895786:-	tt6895790:5.0	tt6895808:-	tt6974714:-	tt6974734:-	tt6974752:-	tt7454772:-	tt7454836:-	tt7454978:-	tt7455034:-	tt7455106:-	tt7455598:-	
5	tt9739892:-	tt9740142:-	tt9740262:-	tt9740326:-	tt9740402:-	tt9740618:-	tt9740650:-	tt9740790:-	
