1	tt5208504:6.9	tt5208508:6.7	tt5213202:7.2	tt5224484:7.3	tt5229202:7.0	tt5234926:7.1	tt5247738:8.9	
2	tt5285864:7.1	tt6078784:7.5	tt6107914:6.8	tt6114216:7.1	tt6114218:6.4	tt6114220:7.4	
3	tt7214404:6.7	tt7320238:6.9	tt7320250:6.6	tt7320252:7.3	tt7320254:6.7	tt7320258:6.8	
