1	tt1274236:-	tt1604477:-	tt1604478:-	tt1604479:-	tt1604480:-	tt1604481:-	
2	tt1604482:-	tt1604483:-	tt1604484:-	tt1604485:-	tt1604486:-	tt1604487:-	tt1604488:-	tt1604489:-	tt1604490:-	
3	tt1604491:-	tt1604492:-	tt1604493:-	tt1604494:-	tt1604495:-	tt1604496:-	tt1604497:-	tt1604498:-	tt1604499:-	tt1604500:-	tt1604501:-	tt1604502:-	
4	tt1604503:-	tt1604504:-	tt1604505:-	tt1604506:-	tt1604507:-	
5	tt1604508:-	tt1604509:-	tt1604510:-	tt1604511:-	tt1604512:-	tt1604513:-	
6	tt1604514:-	tt1604515:-	tt1604516:-	tt1604517:-	tt1604518:-	
7	tt1604519:-	tt1604520:-	tt1604521:-	tt1604522:-	tt1604523:-	
