8	tt10814984:-	
7	tt11327812:7.8	tt11328914:8.5	tt9878010:8.1	
1	tt2039333:8.4	tt2716778:8.5	tt2716780:8.3	tt2716790:8.3	tt2716798:8.7	
2	tt2999190:8.5	tt2999204:8.6	tt2999214:8.6	tt2999220:9.0	
3	tt3687320:8.1	tt4809030:8.3	tt4839466:8.9	tt4839470:8.2	
4	tt5433634:8.3	tt5765474:8.0	tt5851530:8.1	tt5851534:8.5	
5	tt6485338:8.3	tt6753464:8.0	tt6753468:8.5	tt6753470:8.2	tt6763270:8.5	tt6763274:8.9	
6	tt8146802:8.6	tt8700002:8.0	tt8700016:8.2	tt8700024:9.3	
