1	tt1376278:8.0	tt1376279:7.8	tt1385135:7.8	tt1385136:8.1	tt1385137:8.7	tt1385138:8.4	
2	tt1653749:8.1	tt1721854:8.2	tt1721855:7.9	tt1721856:8.5	tt1722685:8.0	tt1722686:7.8	tt1734264:8.3	
3	tt2023935:7.9	tt2023936:8.2	tt2023937:8.1	tt2023938:7.8	tt2023939:7.8	tt2023940:8.4	tt2024738:8.3	tt2061073:8.5	
4	tt2372881:8.4	tt2963220:8.2	tt3038922:9.0	tt3038934:8.1	tt3089406:8.3	tt3127360:8.6	tt3130214:8.2	tt3130216:9.1	
