1	tt12998010:-	tt12999516:-	tt12999710:-	tt12999712:-	tt12999714:-	tt12999718:-	tt12999722:-	tt12999724:-	tt12999726:-	tt12999728:-	tt12999730:-	tt12999740:-	tt12999742:-	tt12999746:-	tt12999748:-	tt12999752:-	tt12999756:-	tt12999806:-	tt12999808:-	tt12999962:-	tt12999970:-	tt12999978:-	tt12999980:-	tt12999982:-	tt12999984:-	tt13000002:-	tt13000006:-	tt13000008:-	tt13000014:-	tt13000016:-	tt13000018:-	tt13000070:-	tt13049920:-	tt13049924:-	tt13049928:-	tt13049930:-	tt13049976:-	tt13049980:-	tt13049982:-	tt13049984:-	tt13049988:-	tt13049994:-	tt13049996:-	tt13049998:-	tt13050002:-	tt13050004:-	tt13050078:-	tt13050080:-	tt13050084:-	tt13050088:-	tt13050090:-	tt13050092:-	tt13050096:-	tt13050098:-	tt13050100:-	tt13050102:-	tt13057652:-	tt13057654:-	tt13057672:-	tt13057674:-	tt13057676:-	tt13057680:-	tt13057684:-	tt13057690:-	tt13057692:-	tt13057694:-	tt13057770:-	tt13057772:-	tt13057776:-	tt13057780:-	tt13057784:-	tt13057786:-	tt13057792:-	tt13057794:-	tt13057798:-	tt13057804:-	tt13057862:-	tt13057866:-	tt13057868:-	tt13057874:-	tt13057878:-	tt13057880:-	tt13057882:-	tt13057886:-	tt13057894:-	tt13057896:-	tt13087078:-	tt13087080:-	tt13087082:-	tt13087084:-	tt13087088:-	tt13087092:-	tt13087094:-	tt13087096:-	tt13087098:-	tt13087100:-	tt13087400:-	tt13087402:-	tt13087404:-	tt13087408:-	tt13087416:-	tt13087420:-	tt13087422:-	tt13087424:-	tt13087434:-	tt13087438:-	tt13087550:-	tt13087554:-	tt13087556:-	tt13087558:-	tt13087560:-	tt13087562:-	tt13087564:-	tt13087574:-	tt13087576:-	tt13087578:-	tt13087702:-	tt13087720:-	tt13087726:-	tt13087728:-	tt13087736:-	tt13087740:-	tt13087742:-	tt13087748:-	tt13087756:-	tt13087762:-	tt13088804:-	tt13088810:-	tt13088812:-	tt13088814:-	tt13088816:-	tt13088818:-	tt13088824:-	tt13088826:-	tt13088828:-	tt13088834:-	tt13089418:-	tt13089424:-	tt13089426:-	tt13089432:-	tt13089436:-	tt13089444:-	tt13089452:-	tt13089454:-	tt13089464:-	tt13090206:-	tt13090216:-	tt13090224:-	tt13090232:-	tt13090240:-	tt13090246:-	tt13090248:-	tt13090250:-	tt8097010:-	
4	tt12999444:-	tt13088786:-	tt13090874:-	tt13090876:-	tt13090880:-	tt13090946:-	tt13090952:-	tt13090954:-	tt13090956:-	tt13090960:-	tt13090964:-	tt13090966:-	tt13090968:-	tt13090970:-	tt13091144:-	tt13091148:-	tt13091150:-	tt13091160:-	tt13091166:-	tt13091170:-	tt13091172:-	tt13091174:-	tt13091176:-	tt13091178:-	tt13091244:-	tt13091246:-	tt13091250:-	tt13091252:-	tt13091258:-	tt13091260:-	tt13091262:-	tt13091264:-	tt13091266:-	tt13091270:-	tt13093312:-	tt13093316:-	tt13093318:-	tt13093320:-	tt13093324:-	tt13093384:-	tt13093386:-	tt13093390:-	tt13093394:-	tt13093398:-	tt13093516:-	tt13093518:-	tt13093520:-	tt13093522:-	tt13093528:-	tt13093530:-	tt13093532:-	tt13093534:-	tt13093536:-	tt13093538:-	tt13094012:-	tt13094016:-	tt13094018:-	tt13094022:-	tt13094026:-	tt13094028:-	tt13094030:-	tt13094032:-	tt13094034:-	tt13094036:-	tt13096844:-	tt13096850:-	tt13096860:-	tt13096866:-	tt13096872:-	tt13096884:-	tt13096886:-	tt13096896:-	tt13096908:-	tt13096912:-	tt13098942:-	tt13098944:-	tt13098946:-	tt13098948:-	tt13098950:-	tt13098954:-	tt13098956:-	tt13098958:-	tt13098960:-	tt13098962:-	tt13099000:-	tt13099002:-	tt13099004:-	tt13099006:-	tt13099008:-	tt13099010:-	tt13099012:-	tt13099014:-	tt13099018:-	tt13099020:-	tt13099088:-	tt13099090:-	tt13099092:-	tt13099096:-	tt13099098:-	tt13099100:-	tt13099102:-	tt13099104:-	tt13099106:-	tt13099110:-	tt13099186:-	tt13099192:-	tt13099194:-	tt13099196:-	tt13099202:-	tt13099204:-	tt13099206:-	tt13099210:-	tt13099216:-	tt13099218:-	tt13099284:-	tt13099286:-	tt13099290:-	tt13099292:-	tt13099298:-	tt13099300:-	tt13099302:-	tt13099306:-	tt13099308:-	tt13099310:-	tt13099348:-	tt13099352:-	tt13099354:-	tt13099356:-	tt13099358:-	tt13099362:-	tt13099366:-	tt13099368:-	tt13099370:-	tt13099372:-	tt13099404:-	tt13099408:-	tt13099410:-	tt13099412:-	tt13099414:-	tt13099416:-	tt13099418:-	tt13099422:-	tt13099424:-	tt13099428:-	tt13099466:-	tt13099468:-	tt13099472:-	tt13099474:-	tt13099478:-	tt13099482:-	tt13099484:-	tt13099488:-	tt13099492:-	tt13099494:-	tt13099562:-	tt13099566:-	tt13099568:-	tt13099570:-	tt13099572:-	tt13099574:-	
3	tt12999522:-	tt13099576:-	tt13099580:-	tt13099582:-	tt13099584:-	tt13099612:-	tt13099614:-	tt13099616:-	tt13099618:-	tt13099620:-	tt13099622:-	tt13099624:-	tt13099626:-	tt13099628:-	tt13099630:-	tt13099674:-	tt13099682:-	tt13099684:-	tt13099688:-	tt13099692:-	tt13099694:-	tt13099696:-	tt13099702:-	tt13099706:-	tt13099710:-	tt13100002:-	tt13100004:-	tt13100006:-	tt13100008:-	tt13100014:-	tt13100018:-	tt13100022:-	tt13100024:-	tt13100028:-	tt13100030:-	tt13100204:-	tt13100206:-	tt13100210:-	tt13100212:-	tt13100214:-	tt13100218:-	tt13100220:-	tt13100224:-	tt13100228:-	tt13100234:-	tt13100340:-	tt13100344:-	tt13100352:-	tt13100356:-	tt13100370:-	tt13100372:-	tt13100378:-	tt13100380:-	tt13100384:-	tt13100386:-	tt13100630:-	tt13100632:-	tt13100638:-	tt13100652:-	tt13100654:-	tt13100664:-	tt13100668:-	tt13100676:-	tt13100688:-	tt13100694:-	tt13100998:-	tt13101000:-	tt13101002:-	tt13101004:-	tt13101006:-	tt13101008:-	tt13101010:-	tt13101012:-	tt13101014:-	tt13101016:-	tt13101124:-	tt13101126:-	tt13101130:-	tt13101134:-	tt13101136:-	tt13101138:-	tt13101144:-	tt13101148:-	tt13101150:-	tt13101152:-	tt13102032:-	tt13102040:-	tt13102042:-	tt13102048:-	tt13102054:-	tt13102064:-	tt13102072:-	tt13102084:-	tt13102090:-	tt13102096:-	tt13102756:-	tt13102780:-	tt13102790:-	tt13102794:-	tt13102798:-	tt13102804:-	tt13102812:-	tt13102820:-	tt13102826:-	tt13102830:-	tt13103254:-	tt13103258:-	tt13103264:-	tt13103268:-	tt13103272:-	tt13103274:-	tt13103276:-	tt13103280:-	tt13103282:-	tt13103288:-	tt13103416:-	tt13103418:-	tt13103420:-	tt13103422:-	tt13103424:-	tt13103426:-	tt13103430:-	tt13103434:-	tt13103436:-	tt13103440:-	tt13103472:-	tt13103478:-	tt13103480:-	tt13103482:-	tt13103484:-	tt13103488:-	tt13103496:-	tt13103498:-	tt13103500:-	tt13103504:-	tt13103568:-	tt13103572:-	tt13103578:-	tt13103580:-	tt13103582:-	tt13103586:-	tt13103588:-	tt8191860:-	tt8191864:-	tt8191866:-	tt8191870:-	tt8191874:-	tt8191880:-	tt8191882:-	tt8191890:-	tt8191892:-	tt8191894:-	tt8191896:-	tt8191898:-	tt8191902:-	tt8191904:-	tt8191906:-	tt8191910:-	tt8191912:-	
2	tt13103594:-	tt13103596:-	tt13103598:-	tt13105890:-	tt13105894:-	tt13105902:-	tt13105904:-	tt13105906:-	tt13105914:-	tt13105916:-	tt13105918:-	tt13105920:-	tt13105928:-	tt13105970:-	tt13105980:-	tt13105982:-	tt13105984:-	tt13105988:-	tt13105998:-	tt13106000:-	tt13106010:-	tt13106016:-	tt13106018:-	tt13106146:-	tt13106148:-	tt13106150:-	tt13106152:-	tt13106154:-	tt13106156:-	tt13106158:-	tt13106160:-	tt13106162:-	tt13106164:-	tt13106198:-	tt13106204:-	tt13106210:-	tt13106214:-	tt13106222:-	tt13106230:-	tt13106232:-	tt13106236:-	tt13106238:-	tt13106242:-	tt13106294:-	tt13106296:-	tt13106298:-	tt13106300:-	tt13106302:-	tt13106304:-	tt13106306:-	tt13106308:-	tt13106310:-	tt13106312:-	tt13106336:-	tt13106338:-	tt13106340:-	tt13106348:-	tt13106352:-	tt13106354:-	tt13106358:-	tt13106362:-	tt13106366:-	tt13106368:-	tt13106472:-	tt13106476:-	tt13106478:-	tt13106480:-	tt13106482:-	tt13106484:-	tt13106488:-	tt13106492:-	tt13106494:-	tt13106496:-	tt13106500:-	tt13106502:-	tt13106504:-	tt8030794:-	tt8030804:-	tt8030810:-	tt8030828:-	tt8030842:-	tt8030844:-	tt8030848:-	tt8030850:-	tt8032860:-	tt8032864:-	tt8032866:-	tt8032868:-	tt8090710:-	tt8090716:-	tt8090720:-	tt8090726:-	tt8090728:-	tt8090736:-	tt8097036:-	tt8097038:-	tt8101732:-	tt8101738:-	tt8101740:-	tt8101744:-	tt8101748:-	tt8101752:-	tt8101756:-	tt8119662:-	tt8119670:-	tt8119672:-	tt8119674:-	tt8119678:-	tt8119682:-	tt8123890:-	tt8123892:-	tt8123894:-	tt8123896:-	tt8123900:-	tt8123902:-	tt8123912:-	tt8157480:-	tt8157484:-	tt8157488:-	tt8157492:-	tt8157494:-	tt8157498:-	tt8157500:-	tt8157504:-	tt8160948:-	tt8161928:-	tt8161936:-	tt8161940:-	tt8161952:-	tt8161960:-	tt8161962:-	tt8161966:-	tt8161968:-	tt8161972:-	tt8161976:-	tt8161978:-	tt8161980:-	tt8171128:-	tt8171130:-	tt8171132:-	tt8171134:-	tt8171324:-	tt8171326:-	tt8171332:-	tt8171336:-	tt8176130:-	tt8176154:-	tt8176156:-	tt8176158:-	tt8176160:-	tt8176164:-	tt8176166:-	tt8176168:-	tt8176170:-	tt8191838:-	tt8191842:-	tt8191848:-	tt8191852:-	tt8191856:-	tt8191858:-	
