2	tt10156336:4.9	tt9502070:6.8	tt9502076:4.3	tt9502078:5.2	tt9502082:4.9	
3	tt10661894:4.0	tt10661896:4.6	tt10661898:4.9	tt10661900:4.2	
4	tt11225992:4.5	tt11565616:5.9	tt11573146:5.1	tt11634630:5.4	tt11646516:4.3	
5	tt13118492:4.6	tt13206770:4.5	tt13206776:4.0	tt13206780:4.2	
6	tt13872796:3.6	tt13872802:4.4	
1	tt8324878:6.0	tt8364040:5.5	tt8364046:5.1	tt8364050:4.0	
