1	tt3131350:8.5	tt3589732:8.4	tt3601608:8.7	tt3619838:8.2	tt3635790:8.3	tt3652674:7.6	tt3668156:7.9	tt3682010:7.9	tt3682014:7.1	tt3695702:7.6	tt3695708:8.3	
2	tt4105008:8.8	tt4105020:8.4	tt4105066:-	tt4105072:8.2	tt4169352:-	tt4172524:-	tt4186134:8.6	tt4209200:-	tt4225688:-	tt4243798:8.8	
3	tt4669818:9.2	tt4680546:-	tt4680552:-	tt4853132:-	tt4889316:-	tt4932434:-	tt4952910:-	tt4952922:-	tt4969122:-	tt5021306:-	
