1	tt12795308:-	tt7531688:6.6	tt7531702:7.1	tt7531726:7.0	tt7533852:7.6	tt7534050:7.7	tt7534080:7.8	
3	tt13329012:-	tt13329014:-	tt13329030:-	tt13329036:-	tt13329040:-	tt13329046:-	
2	tt9612456:8.3	tt9612460:8.0	tt9612462:8.8	tt9612464:8.6	tt9612468:8.2	tt9612472:8.8	
