3	tt11120330:7.6	tt11120340:-	tt11176632:8.2	tt11381256:-	tt11381306:-	
1	tt7524436:7.6	tt7524448:8.0	tt7524450:7.8	tt7555626:8.4	
2	tt9290340:8.0	tt9290358:7.9	tt9290374:8.3	tt9290394:8.2	
