\N	tt10100744:-	tt10100810:8.4	tt10100916:-	tt10100984:8.4	tt10166646:8.0	tt10619348:7.8	tt10660264:-	tt10692364:-	tt11735378:-	tt12204808:-	tt12205660:-	tt12205712:-	tt12210238:-	tt12774452:-	tt12798400:-	tt12814494:-	tt12873864:-	tt13410122:-	tt13410150:-	tt13410234:-	tt13410274:-	tt13410298:-	tt13459388:-	tt13599546:-	tt13605992:-	tt13630272:-	
1	tt3124954:8.9	tt3175290:8.4	tt3175292:9.1	tt3175294:8.4	tt3175296:7.9	tt3175298:7.1	
2	tt3175300:8.5	tt3175302:7.5	tt3175304:8.0	tt3175306:7.1	tt3175310:6.9	
3	tt3175308:9.4	tt3175312:9.2	tt3175314:7.8	tt3175318:8.5	tt3175320:8.0	tt3277148:8.4	tt3295822:8.2	tt3355108:8.0	
4	tt3468580:8.4	tt3623662:7.7	tt3638494:8.2	tt3774198:8.3	tt4305254:7.0	
5	tt4552398:9.1	tt4591154:8.7	tt4734060:8.6	tt4897000:8.5	tt5093688:8.2	
6	tt5575776:8.2	tt6044202:-	tt6063056:-	tt7138310:-	tt7162238:8.1	
