4	tt0732647:7.0	tt0732649:7.7	tt0732650:7.6	tt0732654:7.8	tt0732655:7.4	tt0732657:7.4	tt0732662:7.4	tt0732666:7.5	tt0732670:7.6	tt0732675:7.0	tt0732676:7.0	tt0732677:7.6	tt0732689:7.0	tt0732690:7.0	tt0732692:6.8	tt0732698:7.4	tt0732700:7.6	tt0732702:7.4	tt1267253:7.2	tt1557477:-	tt1557478:-	tt1557479:9.0	tt1557480:-	
3	tt0732648:8.3	tt0732653:7.8	tt0732661:8.2	tt0732678:7.8	tt0732681:7.4	tt0732682:8.1	tt0732684:7.8	tt0732687:7.9	tt0732688:8.4	tt0732696:8.2	tt0732697:8.3	tt0942813:7.5	tt1268104:8.4	tt1268105:8.3	tt1268106:8.3	tt1268108:8.4	tt1557471:8.3	tt1557472:9.0	tt1557473:9.0	tt1557474:-	tt1557475:9.0	tt1557476:9.0	
2	tt0732651:8.0	tt0732652:8.3	tt0732656:8.2	tt0732658:8.0	tt0732660:7.8	tt0732663:7.6	tt0732664:8.2	tt0732667:8.2	tt0732669:8.3	tt0732671:8.2	tt0732673:7.8	tt0732679:8.3	tt0732695:8.2	tt1268093:8.2	tt1268094:8.3	tt1268095:8.2	tt1268096:8.2	tt1268097:8.3	tt1268099:8.0	tt1268100:8.2	tt1268101:7.8	tt1268102:7.8	
1	tt0732659:8.2	tt0732665:7.8	tt0732672:8.3	tt0732680:7.6	tt0732701:8.3	tt1257306:8.4	tt1257307:7.5	tt1257308:7.4	tt1257309:8.0	tt1257310:7.6	tt1257311:7.6	tt1267142:8.0	tt1267143:8.3	
