6	tt0502387:-	
1	tt1295096:-	tt1295097:-	tt1295098:-	tt1295099:-	tt1295100:-	tt1295101:-	tt1295124:-	tt1295125:-	
2	tt1295102:-	tt1295103:-	tt1295104:-	tt1295105:-	tt1295106:-	tt1295107:-	tt1295129:-	
3	tt1295108:-	tt1295109:-	tt1295110:-	tt1295111:-	tt1295126:-	tt1295127:-	tt1295130:-	
4	tt1295112:-	tt1295113:-	tt1295114:-	tt1295115:-	tt1295116:-	tt1295117:-	
5	tt1295118:-	tt1295119:-	tt1295120:-	tt1295121:-	tt1295122:-	tt1295123:-	tt1295128:-	
