2	tt14614692:-	tt3497438:-	tt3497440:-	tt3497442:-	tt3497444:-	tt3497448:-	
1	tt3497428:-	tt3497430:-	tt3497432:-	tt3497434:-	tt3497436:-	
3	tt3497452:-	tt3497454:-	tt3497458:-	tt3497460:-	tt3497462:-	
4	tt3497464:-	tt3497466:-	tt3497480:-	tt3497482:-	tt3497484:-	
5	tt3899510:-	
