13	tt10086520:-	tt10650602:-	tt9764582:-	
3	tt1282704:-	tt1292282:-	tt1311353:-	tt1311354:-	tt1311355:-	tt1322568:-	tt1322569:-	tt1322570:-	tt1322571:-	tt1338184:-	tt1338185:-	tt1338186:-	
1	tt1292279:-	tt1292280:-	tt1292281:-	tt1690594:-	tt1690595:-	tt1690596:-	tt1690597:-	
4	tt1526026:-	tt1526027:-	tt1526028:-	tt1526029:-	tt1526030:-	tt1690607:-	tt1690608:-	tt1690609:-	tt1690610:-	tt1690611:-	tt1691210:-	tt1711592:-	tt1711593:-	tt1711594:-	tt1711595:-	tt1711596:-	tt1711597:-	tt1711598:-	tt1711599:-	tt1711600:-	tt5120252:-	
5	tt1590417:-	tt1590418:-	tt1590419:-	tt1590420:-	tt1596425:-	tt1598978:-	tt1614627:-	tt1614628:-	tt1690612:-	tt1690613:-	tt5122386:-	tt5122388:-	tt5122390:-	tt5122398:-	tt5122400:-	tt5122406:-	tt5122412:-	tt5122414:-	tt5122416:-	tt5122418:-	
2	tt1601326:-	tt1690598:-	tt1690599:-	tt1690600:-	tt1690601:-	tt1690602:-	tt1690603:-	tt1690604:-	tt1690605:-	tt1690606:-	
6	tt2245577:-	tt2245579:-	tt2245581:-	tt2245583:-	tt2245585:-	tt2245587:-	tt2245589:-	tt2245591:-	tt2245593:-	tt2245595:-	tt2245597:-	tt2245599:-	tt2245601:-	tt2245603:-	tt2245605:-	tt2245607:-	tt2320403:-	tt2320405:-	tt2320407:-	tt2320409:-	tt2320411:-	tt8834112:-	
7	tt2607872:-	tt3216402:-	tt3216410:-	tt3216420:-	tt3216422:-	tt3216426:-	tt3216438:-	tt3216442:6.6	tt3216454:-	tt3216460:-	tt3216474:-	tt3216490:-	tt3216500:-	tt3216506:-	tt3216514:-	tt3216520:-	tt3216524:-	tt3216528:-	tt3216534:-	tt3216542:-	
8	tt3216576:-	tt3232886:-	tt3232888:-	tt3284706:-	tt3293096:-	tt3293098:-	tt3516344:-	tt3565478:-	tt3646372:-	tt4122962:-	tt4122970:-	tt4122976:-	tt4122980:-	tt5376346:-	tt5379242:-	tt5434460:-	tt5434576:-	tt5434914:-	tt5438002:-	tt5446822:-	
9	tt4122478:-	tt4123076:-	tt4123084:-	tt4123088:-	tt4162964:6.6	tt4162968:7.4	tt4162970:7.3	tt4418100:-	tt8834158:-	tt8834160:-	tt8834164:-	tt8834166:-	tt8834170:-	tt8834172:-	tt8834176:-	tt8834178:-	tt8834182:-	tt8834184:-	tt8834186:-	tt8834188:-	
12	tt7682530:-	tt7836866:-	tt8834444:-	tt8834446:-	tt8834448:-	tt8834450:-	tt8834452:-	tt8834454:-	tt8834456:-	tt8834458:-	tt8834460:-	tt8834462:-	tt8834464:-	tt8834466:-	tt8834468:-	tt8834470:-	tt8834474:-	tt8834476:-	tt8834478:-	tt8834480:-	
10	tt8834194:-	tt8834198:-	tt8834202:-	tt8834206:-	tt8834208:-	tt8834210:-	tt8834214:-	tt8834218:-	tt8834220:-	tt8834226:-	tt8834234:-	tt8834236:-	tt8834244:-	tt8834246:-	tt8834254:-	tt8834260:-	tt8834266:-	tt8834270:-	tt8834278:-	tt8834286:-	tt8834290:-	tt8834292:-	
11	tt8834308:-	tt8834310:-	tt8834312:-	tt8834316:-	tt8834320:-	tt8834324:-	tt8834326:-	tt8834330:-	tt8834332:-	tt8834398:-	tt8834402:-	tt8834404:-	tt8834410:-	tt8834412:-	tt8834414:-	tt8834416:-	tt8834418:-	tt8834420:-	tt8834422:-	tt8834424:-	
