10	tt10034522:8.4	tt10101058:8.6	tt10101060:8.6	tt8423088:8.7	tt8806206:8.2	tt8878856:8.3	tt8903668:8.3	tt8932374:8.0	tt9000598:7.9	tt9032038:7.8	tt9113918:8.1	tt9113930:8.2	tt9158782:8.2	tt9187834:8.1	tt9249224:8.6	tt9295922:8.1	tt9599466:8.5	tt9618908:8.1	tt9624370:9.1	tt9627042:8.4	tt9741282:7.4	tt9746868:7.9	tt9758622:7.9	tt9765736:8.7	
11	tt10482278:8.2	tt10950596:7.8	tt10986658:8.1	tt10994212:8.2	tt11166462:7.5	tt11166464:7.8	tt11166468:7.6	tt11238544:7.9	tt11274582:8.3	tt11312542:8.7	tt11349328:6.9	tt11493086:7.6	tt11530446:7.8	tt11684002:7.9	tt11761344:8.2	tt11784570:7.9	tt11809144:7.7	tt11913878:7.6	tt11913898:7.9	tt11998352:7.2	tt12019602:7.2	tt12140400:8.5	
12	tt12272092:7.3	tt13297044:8.0	tt13407286:7.9	tt13455682:7.2	tt13455724:7.7	tt13500430:8.1	tt13566122:7.5	tt13605286:-	tt13617108:7.8	tt13617116:7.7	tt13617118:-	tt13634830:-	tt13634832:-	tt13634834:-	tt13634836:-	tt13634844:-	tt13634852:-	tt13634854:-	
1	tt1451559:7.5	tt1475953:7.5	tt1488367:7.2	tt1498667:7.4	tt1509490:7.6	tt1513935:7.5	tt1515472:7.8	tt1535798:7.8	tt1544943:7.3	tt1546242:8.0	tt1546581:7.3	tt1555780:7.8	tt1560583:7.9	tt1584424:7.8	tt1585426:7.6	tt1590559:7.9	tt1596161:7.4	tt1597645:7.3	tt1610158:7.4	tt1632076:7.8	tt1644827:8.1	tt1644828:7.5	tt1652227:8.0	tt1652675:7.9	
2	tt1632077:8.0	tt1632078:8.0	tt1632079:7.8	tt1632080:7.6	tt1632081:7.8	tt1632082:7.8	tt1632083:7.8	tt1632084:7.9	tt1632085:8.2	tt1632086:7.7	tt1632087:7.7	tt1632088:7.9	tt1632089:7.8	tt1632090:7.7	tt1632091:7.9	tt1632092:7.8	tt1632093:7.8	tt1632094:7.8	tt1632095:7.9	tt1816306:7.9	tt1816307:7.7	tt1816308:8.0	tt1816309:7.8	tt1816310:8.2	
3	tt1988389:8.2	tt2015995:7.6	tt2016616:7.9	tt2016617:7.8	tt2031838:7.7	tt2039944:7.8	tt2074860:7.9	tt2077468:7.8	tt2090224:8.1	tt2090979:8.0	tt2122029:7.8	tt2124136:7.9	tt2128608:7.7	tt2174789:8.1	tt2179835:7.9	tt2201821:8.3	tt2256419:7.9	tt2256421:8.4	tt2257679:7.8	tt2257681:8.0	tt2257683:8.2	tt2257687:7.6	tt2280085:8.5	tt2280087:8.1	
4	tt2262316:7.9	tt2317822:7.7	tt2349242:7.8	tt2349250:7.9	tt2426260:7.7	tt2474844:7.4	tt2479754:7.6	tt2479776:7.5	tt2479782:7.7	tt2492342:7.8	tt2516768:8.0	tt2525816:7.7	tt2543974:8.0	tt2581522:7.7	tt2691742:7.5	tt2691748:7.5	tt2699068:7.3	tt2711284:7.9	tt2729432:7.2	tt2745708:7.6	tt2754860:7.8	tt2754866:8.2	tt2755644:7.5	tt2829086:7.8	
5	tt2851850:8.2	tt3098390:8.0	tt3098468:7.9	tt3143916:7.9	tt3161958:7.6	tt3228198:7.9	tt3236364:7.7	tt3236366:7.7	tt3236368:8.0	tt3236372:7.7	tt3236374:7.7	tt3236382:8.2	tt3236386:8.1	tt3236388:7.8	tt3236390:7.7	tt3236396:7.9	tt3236398:7.7	tt3236402:8.2	tt3236404:7.8	tt3236408:7.8	tt3236410:7.4	tt3236420:8.1	tt3236424:7.7	tt3236434:7.7	
6	tt3596128:8.2	tt3962318:7.9	tt3993126:8.1	tt4010220:8.1	tt4097914:8.2	tt4129328:8.1	tt4129334:8.2	tt4129336:7.6	tt4129340:8.1	tt4129342:7.6	tt4151418:7.9	tt4190242:7.9	tt4297094:7.6	tt4297112:7.8	tt4422264:7.8	tt4438948:8.2	tt4457774:7.8	tt4489458:7.9	tt4489460:7.8	tt4489466:8.0	tt4525032:7.8	tt4525034:7.7	tt4579430:8.0	tt4579432:8.1	
7	tt4694836:8.2	tt4729246:8.8	tt4810528:8.3	tt4956868:8.0	tt4981296:8.5	tt4981298:8.0	tt4981300:8.5	tt4981302:8.2	tt4981304:8.1	tt5168864:8.8	tt5203582:7.8	tt5205366:8.5	tt5268490:8.0	tt5272090:7.9	tt5333422:7.6	tt5354636:8.2	tt5373422:8.1	tt5493444:8.0	tt5522896:8.8	tt5522898:8.0	tt5580698:8.1	tt5585822:8.3	tt5585824:8.1	tt5585828:8.7	
