1	tt13835394:-	tt13835396:-	tt13835398:-	tt13835400:-	tt13835404:-	tt13835408:-	tt13835414:-	tt13835416:-	tt13835420:-	tt13835426:-	tt13835430:-	tt13835432:-	tt13835436:-	tt13835438:-	
2	tt13835446:-	tt13835448:-	tt13835452:-	tt13835456:-	tt13835458:-	tt13835460:-	
3	tt13835466:-	tt13835476:-	tt13835480:-	tt13835482:-	tt13835484:-	
4	tt13835878:-	tt13836406:-	tt13836408:-	tt13836410:-	tt13836412:-	
5	tt13836040:-	tt13836044:-	tt13836046:-	tt13836050:-	tt13836060:-	tt13836076:-	tt13836078:-	tt13836082:-	tt13836084:-	tt13836086:-	
6	tt13836292:-	tt13836296:-	tt13836302:-	tt13836332:-	
7	tt13836338:-	tt13836340:-	tt13836344:-	
8	tt13837258:-	tt13837266:-	tt13837276:-	
9	tt13837358:-	tt13837382:-	tt13837390:-	
