1	tt1332836:9.1	tt1332837:9.2	tt1332838:8.5	tt1332839:9.0	tt1332840:9.2	tt1332841:9.1	
2	tt1465800:8.6	tt1465801:8.3	tt1465802:8.2	tt1465803:9.4	tt1465804:8.4	tt1465805:7.8	tt1465806:8.5	
3	tt1713871:8.6	tt1717493:9.2	tt1752525:7.0	tt1752526:8.3	tt1752527:8.8	tt1752528:7.8	tt1752529:8.7	
