3	tt11084576:-	tt11122224:7.4	tt11122938:8.3	tt11153848:7.5	tt11161480:7.2	tt11169518:8.4	tt11170840:8.0	tt11552378:8.4	tt11626464:-	
\N	tt11300368:-	tt9819674:-	
1	tt7926116:7.8	tt7926122:7.8	tt7926126:7.9	tt8011398:7.8	tt8027044:7.6	tt8067368:7.8	tt8067484:8.0	tt8067532:7.5	
2	tt8244848:7.3	tt8536978:7.4	tt8563652:8.0	tt8657378:7.9	tt8657392:7.4	tt8657394:7.7	tt8720100:8.1	tt8748946:7.9	
