24	tt0786114:-	tt0789430:-	tt0795110:-	tt0803573:-	tt0803574:-	
5	tt0803575:-	tt0814889:-	tt0814890:-	tt0814891:-	tt0814892:-	tt0824552:-	tt0824553:-	tt0824554:-	tt0827304:-	tt0833065:-	tt0833066:-	tt0838843:-	tt0838844:-	tt0849942:-	tt0849943:-	tt0849944:-	tt0853593:-	tt14089970:-	
21	tt0804727:-	
37	tt10781468:-	tt10855492:-	tt11698278:-	
51	tt10783248:-	
38	tt12636990:-	tt12638982:-	tt12677796:-	tt12683884:-	tt12721556:-	tt12725882:-	
20	tt12759304:-	tt12764982:-	tt12794684:-	tt12800408:-	tt12806608:-	tt12806614:-	tt12821562:-	tt12827728:-	tt12834004:-	tt12834008:-	tt12839468:-	tt12839472:-	tt12845910:-	tt12883184:-	tt12889692:-	tt12943486:-	tt12982238:-	tt12982272:-	tt12988010:-	tt13011544:-	tt13011548:-	tt13017948:-	tt13023724:-	tt13023744:-	tt13029522:-	tt13064066:-	tt13071218:-	tt13106714:-	tt13113678:-	tt13195546:-	tt13200852:-	tt13244108:-	tt13289068:-	tt4644332:-	
17	tt13926272:-	
1	tt14089936:-	
3	tt14089954:-	
4	tt14089964:-	
6	tt14090028:-	
7	tt14090032:-	
8	tt14090044:-	
9	tt14090060:-	
10	tt14090082:-	
11	tt14090176:-	
15	tt14090196:-	tt14261822:-	
\N	tt14090206:-	tt14090224:-	tt14090232:-	tt14090236:-	tt14090242:-	tt14090252:-	tt14090256:-	tt14090260:-	tt14090268:-	tt14090276:-	tt14090280:-	tt14090284:-	tt14090324:-	tt14090328:-	tt14090338:-	tt14090344:-	tt14090352:-	tt14090362:-	tt14090370:-	tt14090376:-	tt14090660:-	
39	tt14267122:-	tt14273782:-	tt14318260:-	tt14325770:-	tt14365304:-	tt14372166:-	tt14372172:-	tt14412962:-	tt14419456:-	tt14459852:-	tt14466392:-	tt14509962:-	tt14552174:-	tt14599826:-	tt14644604:-	tt14691406:-	tt14735186:-	tt14793412:-	tt14826770:-	tt14834476:-	tt14873502:-	
35	tt14820416:-	
33	tt4613656:-	tt4652868:-	
14	tt4668974:-	tt4686826:-	tt4702338:-	tt4720062:-	tt4742458:-	tt4769780:-	tt4786900:-	tt4787146:-	tt4806252:-	tt4808714:-	tt4828812:-	tt4828938:-	tt4842856:-	tt4863068:-	tt4883720:-	tt4925654:-	tt4943016:-	tt4960130:-	tt4979194:-	tt5000844:-	tt5020246:-	tt5039596:-	tt5058320:-	
