6	tt0735726:5.0	tt0735727:5.9	tt0735731:4.9	tt0735741:5.7	tt0735742:5.1	tt0735743:5.2	tt0735745:5.7	tt0735750:7.4	tt0735766:4.9	tt0735770:6.1	tt2738472:5.8	tt2738488:5.0	
2	tt0735728:6.4	tt0735729:6.5	tt0735733:7.3	tt0735738:6.3	tt0735739:6.2	tt0735740:6.5	tt0735760:6.0	tt0735762:6.1	tt1100875:6.3	tt1100876:6.1	tt1100877:6.1	
3	tt0735730:6.9	tt0735732:7.1	tt0735751:5.9	tt0735752:5.6	tt0735753:6.0	tt0735754:5.9	tt0735757:6.4	tt0735763:6.6	tt0735764:6.3	tt0735771:6.8	
4	tt0735734:6.5	tt0735746:6.6	tt0735747:6.4	tt0735748:6.1	tt0735749:6.3	tt0735769:7.8	
5	tt0735735:6.0	tt0735736:6.1	tt0735755:6.6	tt1100878:6.1	tt1398356:5.1	tt2738448:5.6	tt2738452:5.8	tt2738456:5.6	tt2738466:6.0	
1	tt0735737:6.8	tt0735744:7.0	tt0735756:7.8	tt0735758:6.8	tt0735759:6.2	tt0735761:7.8	tt0735765:8.1	tt0735767:7.0	tt0735768:7.9	
