1	tt0081103:8.0	tt0639619:7.2	tt0639620:7.5	tt0639627:7.7	tt0639633:7.6	tt0639643:7.5	tt0639668:8.4	tt0639677:8.2	tt0639692:7.4	tt0639698:7.7	tt0639700:7.8	tt0639721:7.5	tt0639728:7.3	tt0639732:7.3	tt0639734:7.6	tt0639752:6.8	tt0639754:7.7	tt2197300:8.0	
3	tt0639613:7.8	tt0639624:7.8	tt0639626:7.7	tt0639629:7.8	tt0639630:8.1	tt0639640:9.1	tt0639648:8.0	tt0639650:8.3	tt0639651:7.9	tt0639654:7.9	tt0639659:7.7	tt0639662:7.7	tt0639671:8.1	tt0639675:7.9	tt0639693:7.4	tt0639694:7.9	tt0639702:8.3	tt0639713:7.8	tt0639729:7.8	tt0639731:8.3	tt0639735:7.7	tt0639763:7.3	
8	tt0639614:8.0	tt0639652:7.9	tt0639665:8.6	tt0639666:7.8	tt0639676:7.9	tt0639715:7.8	tt0639719:8.6	tt0639737:7.5	tt0639744:7.5	tt0639757:8.6	tt0639760:8.2	tt0639765:8.7	tt2242414:8.8	
6	tt0639615:7.4	tt0639621:8.1	tt0639632:8.0	tt0639639:8.2	tt0639649:7.7	tt0639658:8.1	tt0639663:7.5	tt0639689:7.9	tt0639703:7.5	tt0639710:7.2	tt0639714:7.5	tt0639717:7.5	tt0639720:7.6	tt0639726:7.6	tt0639738:7.6	tt0639740:7.9	tt0639751:7.8	tt0639755:7.9	tt0639767:8.2	tt0639768:7.8	
5	tt0639616:7.5	tt0639622:8.1	tt0639623:8.0	tt0639631:7.9	tt0639634:7.7	tt0639646:8.0	tt0639647:8.1	tt0639655:7.5	tt0639672:7.1	tt0639678:7.5	tt0639683:8.1	tt0639685:7.8	tt0639687:7.8	tt0639695:7.7	tt0639696:8.2	tt0639716:7.8	tt0639742:7.5	tt0639745:7.7	tt0639746:7.6	tt0639758:7.6	tt0639759:7.6	tt0639764:7.9	
4	tt0639617:7.6	tt0639641:8.0	tt0639645:7.5	tt0639660:8.0	tt0639661:8.7	tt0639664:8.1	tt0639669:7.1	tt0639679:7.5	tt0639680:7.7	tt0639682:8.0	tt0639686:8.0	tt0639699:7.6	tt0639704:7.9	tt0639708:8.3	tt0639712:7.2	tt0639718:7.6	tt0639722:7.3	tt0639724:7.9	tt0639733:8.0	tt0639743:7.7	tt0639748:7.4	
7	tt0639618:8.1	tt0639625:8.1	tt0639637:8.6	tt0639638:7.9	tt0639653:8.0	tt0639670:7.6	tt0639673:8.1	tt0639674:8.9	tt0639681:8.8	tt0639684:8.5	tt0639691:7.8	tt0639697:7.9	tt0639701:7.7	tt0639705:8.0	tt0639707:8.1	tt0639709:7.5	tt0639711:8.6	tt0639723:7.8	tt0639725:7.4	tt0639730:7.7	tt0639747:8.1	
2	tt0639628:7.4	tt0639635:7.8	tt0639636:7.8	tt0639644:7.6	tt0639656:7.3	tt0639657:7.3	tt0639667:7.9	tt0639688:7.5	tt0639690:8.4	tt0639706:7.3	tt0639727:7.4	tt0639736:8.0	tt0639739:7.8	tt0639741:7.6	tt0639749:7.2	tt0639750:7.3	tt0639753:7.6	tt0639756:7.5	tt0639761:7.6	tt0639762:8.1	tt0639766:7.7	
