\N	tt1752587:-	tt1922333:-	tt1941268:-	tt1997188:4.2	tt2101214:-	tt2106039:-	tt3794492:-	tt4981354:-	tt5525474:-	
1	tt1765541:8.1	tt1765542:7.8	tt1765543:7.8	tt1765544:7.6	tt1765545:8.0	tt1765546:8.1	tt1774156:7.1	tt1774157:8.1	tt1774158:8.0	tt1774159:7.9	
2	tt2028191:8.0	tt2040145:8.7	tt2062405:-	tt2071307:7.7	tt2095460:8.0	tt2095461:6.7	tt2095462:7.0	tt2095463:7.8	tt2095464:-	tt2095465:-	
