4	tt0680996:-	tt0680998:-	tt0681003:-	tt0681005:-	
2	tt0680997:-	tt0932190:-	
3	tt0680999:-	tt0681004:-	
1	tt0681000:-	tt0681002:-	
5	tt0681001:-	tt0681006:-	tt0757117:-	tt0774075:-	
\N	tt0790276:-	
6	tt0817795:-	tt0864612:-	tt0932191:-	
7	tt1094101:-	tt1155300:-	tt1182166:-	
8	tt1334432:-	tt1367952:-	tt1485447:-	
