1	tt0471533:7.2	tt0745361:7.6	tt0815023:7.7	tt0815025:7.2	tt1039568:6.7	
3	tt0745360:7.4	tt1039569:7.4	tt1041177:7.4	tt1041441:7.7	tt1041442:7.6	tt1120810:7.6	
2	tt0745362:7.8	tt0815020:7.7	tt0815021:7.3	tt0815022:6.8	tt0815024:7.4	tt0818190:7.2	
