4	tt13526286:7.4	
1	tt5581018:7.4	tt5675218:7.3	tt5675224:7.4	tt5675228:7.5	tt5675230:7.6	tt5675232:7.4	
2	tt6381530:7.6	tt7333570:7.7	tt7333572:7.6	tt7333584:7.6	tt7333590:7.8	tt7333608:8.2	tt7368154:7.9	
3	tt7531332:7.5	tt8914308:7.7	tt8914324:7.6	tt8914328:7.5	tt8914330:7.6	tt8914336:8.0	tt8914342:7.9	
