1	tt1285316:7.0	tt1285317:-	tt1285318:7.5	tt1285319:7.0	tt1285320:7.6	
2	tt1285321:7.7	tt1285322:5.9	tt1285323:7.2	tt1285324:-	tt1285325:7.2	
3	tt1285326:6.8	tt1285327:7.0	tt1285328:7.5	tt1285329:6.7	tt1285330:7.0	tt1285331:7.4	
4	tt1285332:6.5	tt1285333:7.2	tt1285334:7.2	tt1285335:7.4	tt1285336:7.6	tt1285337:7.4	
