15	tt10262584:-	tt10334314:-	tt10334316:-	tt10334318:-	tt10334320:-	tt10334324:-	tt10334326:-	tt10334328:-	tt10334330:-	tt10334332:-	tt10334334:-	tt9343734:-	
1	tt1177474:-	tt1177475:-	tt1177476:-	
2	tt1351425:-	tt1351426:-	tt1351427:-	tt1351428:-	
3	tt1351429:-	tt1351430:-	tt1351431:7.2	tt1351432:-	
4	tt1462960:-	tt1462961:-	tt1462962:-	tt1462963:-	tt1462964:-	tt1462965:-	
5	tt1552554:-	tt1552555:-	tt1552556:-	tt1552557:-	tt1552558:-	tt6314460:-	
6	tt1727004:-	tt1727005:-	tt1727006:-	tt1727007:7.4	tt1727008:-	tt1727009:-	tt1759183:-	tt1785963:-	tt1785964:-	tt1785965:-	tt1785966:-	tt1785967:-	
7	tt2120432:-	tt2120433:-	tt2120434:-	tt2120435:-	tt2120436:-	tt2120437:-	tt2121499:-	tt2122685:-	tt2122686:-	tt2125908:-	tt2126829:-	tt2655592:-	
8	tt2659672:-	tt2659704:-	tt2659722:-	tt2659726:-	tt6998142:-	tt6998148:-	tt6998154:-	tt6998160:-	tt6998164:-	tt6998168:-	tt6998170:-	tt6998174:-	
11	tt5204742:-	tt5220648:6.6	tt5220650:-	tt5220656:-	tt5220660:6.6	tt5220664:-	tt5220666:-	tt5257070:6.6	tt5257084:7.2	tt5272346:-	tt5288350:-	tt9343652:-	
10	tt5351396:-	tt5351398:-	tt5351402:-	tt5351404:-	tt5351406:-	tt5351410:-	tt5351414:-	tt5351418:-	tt5351422:-	tt5351428:-	tt5351432:-	tt5351438:-	
9	tt5351444:-	tt5351448:-	tt5351452:-	tt5351460:-	tt5351464:-	tt5351466:-	tt5351468:-	tt6590934:-	tt6998186:-	tt6998188:-	tt6998194:-	tt6998196:-	
12	tt5872188:-	tt6108646:-	tt6108648:-	tt6108656:-	tt6108658:-	tt6108660:-	tt6300678:7.5	tt6300680:7.8	tt6300686:7.6	tt6300690:7.6	tt6300692:8.0	tt6300698:8.3	
13	tt7157066:8.6	tt7157090:-	tt7157110:-	tt7157126:-	tt7157128:-	tt7304042:-	tt7549052:7.6	tt7580364:-	tt7658766:7.6	tt7658770:-	tt7658778:-	tt7707958:6.6	
14	tt8987078:8.4	tt8987094:7.6	tt8987114:7.4	tt8987122:-	tt8987124:-	tt8987128:-	tt8987130:-	tt9230486:-	tt9230490:-	tt9304330:-	tt9304332:-	tt9330038:-	
