4	tt12863336:7.3	tt8052820:7.2	tt9724086:7.2	tt9724094:7.4	tt9724096:7.4	tt9724098:7.4	tt9724100:7.5	tt9724104:7.4	tt9724106:8.1	tt9724108:7.8	tt9724110:7.9	
1	tt3097534:9.3	tt3296848:8.5	tt3468290:8.7	tt3514096:8.6	tt3519062:8.7	tt3551076:9.4	tt3578722:9.0	tt3578728:9.0	tt3599898:9.4	tt3599918:9.4	
2	tt3836974:8.9	tt3886622:8.5	tt4001064:8.6	tt4001070:8.8	tt4001074:8.7	tt4001082:9.3	tt4001084:9.2	tt4001088:9.5	tt4001090:9.5	tt4001092:8.9	
3	tt5223488:8.5	tt5273758:8.1	tt5273760:8.0	tt5273762:8.3	tt5273764:8.8	tt5273770:8.4	tt5273772:9.1	tt5273774:8.4	tt5273778:8.9	tt5273780:8.6	
