1	tt12226754:-	tt12233140:-	tt12233144:-	tt12233146:-	tt12233150:-	tt12233152:-	tt12233156:-	tt12233158:-	tt12233160:-	tt12233162:-	tt12233164:-	tt12233166:-	tt12233168:-	tt12233170:-	tt12233172:-	tt12233174:-	tt12233176:-	tt12233178:-	tt12233180:-	tt12233184:-	tt12233192:-	tt12233194:-	tt12233196:-	tt12233198:-	tt12233200:-	tt12233202:-	tt12233204:-	tt12233206:-	tt12233208:-	tt12233210:-	tt12233212:-	tt12233214:-	tt12233216:-	tt12233218:-	tt12233222:-	tt12233224:-	tt12233228:-	tt12233230:-	
2	tt12233232:-	tt12236064:-	tt12236066:-	tt12236068:-	tt12236076:-	tt12236078:-	tt12236080:-	tt12236082:-	tt12236084:-	tt12236086:-	tt12236088:-	tt12236092:-	tt12236094:-	tt12236096:-	tt12236098:-	tt12236100:-	tt12236102:-	tt12236112:-	tt12236116:-	tt12236120:-	tt12236124:-	tt12236126:-	tt12236128:-	tt12236130:-	tt12236132:-	tt12236134:-	tt12236136:-	tt12236138:-	tt12236140:-	tt12236142:-	tt12236144:-	tt12236148:-	tt12236150:-	tt12236152:-	tt12236154:-	tt12236156:-	tt12236158:-	tt12236160:-	tt12236162:-	tt12236164:-	tt12236168:-	
3	tt12233234:-	tt12244156:-	tt12244158:-	tt12244160:-	tt12244164:-	tt12244168:-	tt12244170:-	tt12244174:-	tt12244178:-	tt12244180:-	tt12244182:-	tt12244184:-	tt12244186:-	tt12244188:-	tt12244190:-	tt12244192:-	tt12244194:-	tt12244196:-	tt12244198:-	tt12244200:-	tt12244202:-	tt12248174:-	tt12248176:-	tt12248180:-	tt12248184:-	tt12248186:-	tt12248188:-	tt12248190:-	tt12248194:-	tt12248196:-	tt12248198:-	tt12248200:-	tt12248202:-	tt12248204:-	tt12248206:-	tt12248208:-	tt12248210:-	tt12248216:-	tt12248218:-	tt12248220:-	tt12248222:-	tt12248224:-	
4	tt12233238:-	tt12248236:-	tt12248238:-	tt12248240:-	tt12248242:-	tt12248244:-	tt12248248:-	tt12248250:-	tt12248254:-	tt12248256:-	tt12248258:-	tt12248260:-	tt12248262:-	tt12248264:-	tt12248266:-	tt12248268:-	tt12248270:-	tt12248274:-	tt12248276:-	tt12248278:-	tt12248280:-	tt12255384:-	tt12255386:-	tt12255390:-	tt12255392:-	tt12255394:-	tt12255398:-	tt12255400:-	tt12255402:-	tt12255404:-	tt12255408:-	tt12255410:-	tt12255414:-	tt12255416:-	tt12255420:-	tt12255422:-	tt12255426:-	tt12255428:-	tt12255430:-	tt12255432:-	tt12255434:-	tt12255436:-	
5	tt12233240:-	tt12255442:-	tt12255446:-	tt12255448:-	tt12255452:-	tt12255454:-	tt12255456:-	tt12255458:-	tt12255460:-	tt12255464:-	tt12255468:-	tt12255470:-	tt12255472:-	tt12255474:-	tt12255476:-	tt12255480:-	tt12255482:-	tt12255484:-	tt12255488:-	tt12255490:-	tt12259398:-	tt12259400:-	tt12259402:-	tt12259404:-	tt12259406:-	tt12259408:-	tt12259412:-	tt12259414:-	tt12259416:-	tt12259420:-	tt12259424:-	tt12259428:-	tt12259430:-	tt12259432:-	tt12259436:-	tt12259438:-	tt12259440:-	tt12259442:-	tt12259444:-	tt12259446:-	tt12259450:-	tt1635326:-	
7	tt12233244:-	tt12244230:-	tt12244234:-	tt12244236:-	tt12244242:-	tt12244244:-	tt12244248:-	tt12244250:-	tt1613651:-	tt1615395:-	tt1615796:-	tt1618788:-	tt1618789:-	tt1618996:-	tt1621745:-	tt1627788:-	tt1630009:-	tt1634727:-	tt1640381:-	tt1645663:-	tt1647792:-	tt1651722:-	tt1657182:-	tt1659131:-	tt1663084:-	tt1667636:-	tt1670527:-	tt1675117:-	tt1679072:-	tt1683359:-	tt1687174:-	tt1697422:-	tt1704545:-	tt1717498:-	tt1718052:-	tt1723437:-	tt1728567:-	tt1728568:-	tt1728932:-	tt1729140:-	tt1731325:-	tt1733654:-	
8	tt12233248:-	tt12266656:-	tt12266658:-	tt12266662:-	tt12266664:-	tt12266666:-	tt12266674:-	tt12266678:-	tt12266680:-	tt12266682:-	tt12266684:-	tt12266686:-	tt12266688:-	tt12266692:-	tt12266694:-	tt12266698:-	tt12266700:-	tt12266704:-	tt12266706:-	tt12271306:-	tt12271308:-	tt12271316:-	tt12271318:-	tt12271322:-	tt12271324:-	tt12271328:-	tt12271330:-	tt12271332:-	tt12271334:-	tt12271336:-	tt12271338:-	tt12271340:-	tt12271342:-	tt12271344:-	tt12271348:-	tt12271350:-	tt12271352:-	tt12271354:-	tt12271356:-	tt12271358:-	tt1843752:-	tt1843753:-	
6	tt1380597:-	tt1384703:-	tt1384704:-	tt1389265:-	tt1394798:-	tt1398777:-	tt1401422:-	tt1423240:-	tt1423241:-	tt1423242:-	tt1423243:-	tt1431628:-	tt1438150:-	tt1438151:-	tt1438435:-	tt1471110:-	tt1473299:-	tt1473300:-	tt1478767:-	tt1479651:-	tt1479652:-	tt1479653:-	tt1479654:-	tt1479655:-	tt1479656:-	tt1484853:-	tt1489034:-	tt1492285:-	tt1496990:-	tt1500644:-	tt1503532:-	tt1507217:-	tt1512022:-	tt1515669:-	tt1520795:-	tt1526466:-	tt1534313:-	tt1536949:-	tt1543166:-	tt1547199:-	tt1560932:-	tt1561298:-	tt1562548:-	
