1	tt0394862:-	tt0394864:-	tt0799523:7.8	tt1810355:-	tt1911450:-	tt1943548:-	tt2049326:-	tt2225687:-	tt2788912:-	tt3206650:-	tt3238540:-	tt7899240:-	tt7899246:-	tt7899296:-	tt7899308:-	tt7899314:-	tt7899320:-	tt7899326:-	tt7899442:-	tt7899444:-	tt7899448:-	
3	tt0394863:-	tt1076068:-	tt7898464:-	tt7898472:-	tt7898480:-	tt7898492:-	tt7898502:-	tt7898510:-	tt7898532:-	tt7898560:-	tt7898590:-	tt7898618:-	tt7898630:-	tt7899336:-	tt7899356:-	tt7899366:-	tt7899386:-	tt7899406:-	tt7899414:-	tt7899418:-	tt7899422:-	tt7899434:-	
2	tt1459750:7.5	tt1675218:-	tt1810354:-	tt1870261:-	tt1928950:-	tt1957788:-	tt1984947:-	tt2005982:-	tt2060321:-	tt2063510:-	tt2063511:-	tt2083060:6.6	tt2221274:-	tt7897282:-	tt7897296:-	tt7897300:-	tt7897302:-	tt7897310:-	tt7897314:-	tt7897322:-	tt7897326:-	tt7897328:-	
