1	tt1584400:8.2	tt1588231:7.2	tt1591314:8.5	tt1596131:7.9	tt1599681:8.0	tt1602973:8.8	tt1607645:7.0	tt1611488:8.7	tt1616809:9.1	tt1619710:9.1	tt1624135:9.0	tt1639001:8.3	tt1639002:9.2	
2	tt1820117:8.6	tt1825401:8.7	tt1831172:8.3	tt1836476:8.1	tt1842114:8.3	tt1847235:8.0	tt1852488:8.6	tt1858142:7.9	tt1863895:7.6	tt1870098:7.0	tt1875506:7.4	tt1883876:8.7	tt1891177:7.1	tt1900290:9.3	
3	tt2158578:7.8	tt2169552:-	tt2180436:-	tt2194996:8.0	tt2208306:8.0	tt2300201:8.5	tt2314693:4.5	tt2321959:7.3	tt2333649:8.0	tt2360433:-	tt2370727:7.5	tt2381669:7.5	tt2390777:6.8	tt2397931:-	
