1	tt5250696:-	tt6128392:-	tt6128402:-	tt7060952:-	tt7060954:-	tt7060956:-	tt7060958:-	tt7060960:-	tt7060964:-	tt7063596:-	tt7063600:-	tt7063602:-	tt7063604:-	tt7063606:-	tt7063608:-	tt7063610:-	tt7063612:-	tt7063614:-	tt7063616:-	tt7067796:-	tt7067800:-	tt7067804:-	tt7067806:-	tt7067808:-	tt7067812:-	tt7067818:-	tt7067822:-	tt7067826:-	tt7067828:-	tt7067830:-	tt7067834:-	tt7067836:-	tt7067838:-	tt7067842:-	tt7067844:-	tt7067846:-	tt7067848:-	tt7067850:-	tt7067854:-	
2	tt9594952:-	tt9594954:-	tt9594956:-	tt9594958:-	tt9594960:-	tt9594964:-	tt9594966:-	tt9594968:-	tt9594970:-	tt9594972:-	tt9594974:-	tt9594976:-	tt9594978:-	tt9594980:-	tt9594982:-	tt9594984:-	tt9594986:-	tt9594988:-	tt9594990:-	tt9594994:-	
3	tt9595368:-	tt9595370:-	tt9595372:-	tt9595374:-	tt9595376:-	tt9595378:-	tt9595380:-	tt9595382:-	tt9595384:-	tt9595386:-	tt9595388:-	tt9595390:-	tt9595392:-	tt9595394:-	tt9595396:-	tt9595398:-	tt9595400:-	tt9595402:-	tt9595404:-	tt9595406:-	
4	tt9595412:-	tt9595414:-	tt9595418:-	tt9595420:-	tt9595422:-	tt9595424:-	tt9595426:-	tt9595428:-	tt9595430:-	tt9595432:-	tt9595434:-	tt9595436:-	tt9595438:-	tt9595440:-	tt9595442:-	tt9595446:-	tt9595448:-	tt9595450:-	tt9595452:-	tt9595454:-	
5	tt9595464:-	tt9595466:-	tt9595468:-	tt9595470:-	tt9595472:-	tt9595474:-	tt9595476:-	tt9595478:-	tt9595480:-	tt9595482:-	tt9595484:-	tt9595486:-	tt9595488:-	tt9595490:-	tt9595492:-	tt9595494:-	tt9595496:-	tt9595498:-	tt9595500:-	tt9595504:-	
6	tt9595516:-	tt9595518:-	tt9595520:-	tt9595522:-	tt9595524:-	tt9595526:-	tt9595528:-	tt9595530:-	tt9595532:-	tt9595534:-	tt9595536:-	tt9595538:-	tt9595540:-	tt9595542:-	tt9595544:-	tt9595546:-	tt9595548:-	tt9595550:-	tt9595552:-	tt9595554:-	
7	tt9595564:-	tt9595566:-	tt9595568:-	tt9595570:-	tt9595572:-	tt9595574:-	tt9595576:-	tt9595578:-	tt9595580:-	tt9595582:-	tt9595584:-	tt9595586:-	tt9595588:-	tt9595590:-	tt9595592:-	tt9595594:-	tt9595596:-	tt9595598:-	tt9595600:-	tt9595602:-	
8	tt9595614:-	tt9595616:-	tt9595618:-	tt9595620:-	tt9595622:-	tt9595624:-	tt9595626:-	tt9595628:-	tt9595630:-	tt9595632:-	tt9595634:-	tt9595636:-	tt9595638:-	tt9595640:-	tt9595642:-	tt9595644:-	tt9595646:-	tt9595648:-	tt9595650:-	tt9595652:-	
9	tt9595674:-	tt9595676:-	tt9595678:-	tt9595680:-	tt9595682:-	tt9595684:-	tt9595686:-	tt9595688:-	tt9595690:-	tt9595692:-	tt9595694:-	tt9595700:-	tt9595702:-	tt9595704:-	tt9595706:-	tt9595708:-	tt9595710:-	tt9595712:-	tt9595714:-	tt9595716:-	
10	tt9595730:-	tt9595734:-	tt9595736:-	tt9595740:-	tt9595742:-	tt9595744:-	tt9595746:-	tt9595748:-	tt9595750:-	tt9595752:-	tt9595754:-	tt9595756:-	tt9595758:-	tt9595760:-	tt9595762:-	tt9595766:-	tt9595768:-	tt9595770:-	tt9595772:-	tt9595776:-	
11	tt9595788:-	tt9595790:-	tt9595792:-	tt9595794:-	tt9595796:-	tt9595798:-	tt9595800:-	tt9595802:-	tt9595804:-	tt9595806:-	
