9	tt10870256:8.2	tt11122856:8.0	tt11302140:9.2	tt11465066:-	
1	tt2205682:8.2	tt2367685:8.8	tt2367687:8.5	tt2367689:7.4	tt2367691:8.3	
2	tt2362486:8.8	tt2481112:8.7	tt2486442:8.8	tt3206268:8.6	
\N	tt3019114:8.4	
3	tt3416530:8.6	tt3416538:7.8	tt4328210:8.1	
4	tt4018320:7.2	tt4328220:8.6	tt4328226:8.0	tt4328260:8.8	
5	tt4874344:8.4	tt5199970:8.2	tt5763602:8.0	tt7145338:8.3	
6	tt5763616:8.1	tt6090646:-	tt7145426:-	tt7145460:7.5	
7	tt7630218:7.9	tt7631430:7.5	tt7631452:7.7	
8	tt8442078:8.1	tt8804444:6.9	tt9135034:8.1	tt9452720:8.1	
