1	tt11371416:-	tt11981072:-	tt11986070:-	tt12009226:-	tt12013188:-	tt12013236:-	tt12013250:-	tt12026746:-	tt13508552:-	tt13561768:-	
5	tt13079142:-	tt13787680:-	tt13787684:-	tt13787688:-	tt13787690:-	tt13787692:-	tt13787694:-	tt13787732:-	
2	tt13787592:-	tt13787598:-	tt13787606:-	tt13787636:-	
3	tt13787648:-	tt13787656:-	tt13787660:-	
4	tt13787668:-	tt13787672:-	tt13787676:-	
