3	tt10937702:8.6	tt11212816:8.5	tt11212822:8.8	tt11251488:8.9	tt11251494:9.2	tt11569354:9.1	tt11569486:8.7	tt11569650:8.4	tt11572230:8.1	tt11574354:8.5	tt11574506:8.0	tt11574596:8.3	tt11574656:8.9	tt11609032:9.0	tt11664424:8.4	tt11702722:8.4	tt11730482:7.8	tt11826014:9.2	tt11826018:9.4	tt12490186:9.3	tt12490200:8.6	tt12490202:8.5	tt12490206:9.8	tt12490208:8.6	
2	tt2640470:7.8	tt2741296:8.2	tt2741298:8.3	tt2741300:8.6	tt2741302:8.4	tt2741304:8.5	tt2741306:8.1	tt2741308:7.4	tt2858718:8.2	tt2858720:8.6	tt2858722:8.4	tt2858724:8.4	tt2858726:8.3	tt2858728:8.4	tt2858730:7.7	tt2898652:8.5	tt2898654:6.4	tt2928466:9.2	tt2928468:8.5	tt3025074:8.3	tt3025076:8.8	tt3025078:8.8	tt3025080:8.5	tt3025082:8.7	tt3025084:7.8	
1	tt2741226:8.3	tt2741228:8.6	tt2741230:8.1	tt2741232:8.0	tt2741234:7.9	tt2741236:7.7	tt2741238:7.9	tt2741240:8.2	tt2741242:8.1	tt2741244:8.5	tt2741246:7.9	tt2741248:7.9	tt2741270:8.0	tt2741272:8.2	tt2741274:8.4	tt2741276:7.9	tt2741278:7.9	tt2741280:8.0	tt2741282:8.5	tt2741284:8.0	tt2741286:7.7	tt2741288:6.6	tt2741290:8.4	tt2741292:8.7	tt2741294:7.7	
