3	tt0736709:-	tt0736713:-	tt0736716:-	
2	tt0736710:-	tt0736720:-	tt0903738:-	
5	tt0736711:-	tt0736715:6.5	tt0790583:-	
1	tt0736712:-	tt0902446:-	tt0902447:-	
6	tt0736714:-	tt0736718:5.8	tt0736719:-	
4	tt0736717:6.6	tt0850628:-	tt0850629:5.7	
7	tt1136578:5.8	tt1140806:7.6	tt1171996:-	
8	tt1567222:-	tt1567223:5.4	tt1574317:-	
9	tt2078455:-	tt2078456:-	tt2078457:6.0	
10	tt2460984:-	tt2460990:-	tt2670196:-	
11	tt3101010:7.0	tt3101012:-	tt3101016:-	tt3961004:8.6	
12	tt4937314:-	tt5044548:-	tt5044558:-	tt5044574:-	
13	tt5872378:-	tt6017394:-	tt6017398:-	tt6324934:-	tt6329090:-	tt6329096:-	
14	tt6842424:-	tt6842434:-	tt6842442:-	tt6842452:-	tt6842466:-	tt6842480:-	
15	tt9271356:-	tt9271360:-	tt9328446:-	tt9328448:-	tt9354804:-	tt9354810:-	
