5	tt10036812:-	tt10069160:-	tt10100960:-	tt10138970:-	tt10175630:-	tt10211536:-	tt10247892:-	tt10282538:-	tt10314268:-	tt10392330:-	tt10392340:-	tt10461940:-	tt10461946:-	tt10504006:-	tt10548480:-	tt10561784:-	tt10601862:-	tt10633552:-	tt10675060:-	tt10740734:-	tt10776376:-	tt10813962:-	tt10862354:-	tt10862378:-	tt10910654:-	tt10933318:-	tt10955336:-	tt11005134:-	tt11032070:-	tt11137208:-	tt11137212:-	tt11203166:-	tt11203172:-	tt9551478:-	tt9588412:-	tt9631270:-	tt9668948:-	tt9706244:-	tt9753306:-	tt9792378:-	tt9830968:-	tt9868152:-	tt9912222:-	
1	tt6483838:-	tt6486374:-	tt6487450:-	tt6487530:-	
2	tt6490126:-	tt6490502:-	tt6494312:-	tt6494368:-	tt6494426:-	tt6495098:-	tt6495116:-	tt6495136:-	tt6495196:-	tt6495242:-	tt6495252:-	tt6495364:-	tt6495460:-	tt6495464:-	tt6495478:-	tt6507940:-	tt6507950:-	tt6507964:-	tt6512348:-	tt6512378:-	tt6512472:-	tt6512486:-	tt6512508:-	tt6512542:-	tt6512862:-	tt6512952:-	tt6512956:-	tt6512964:-	tt6516248:-	tt6516252:-	tt6516272:-	tt6516300:-	tt6516346:-	tt6516392:-	tt6516624:-	tt6516634:-	tt6516646:-	tt6516854:-	tt6516864:-	tt6516982:-	tt6520188:-	tt6520204:-	tt6520212:-	tt6520230:-	tt6520252:-	tt6520254:-	tt6520264:-	tt6520334:-	tt6520368:-	tt6520440:-	tt6520466:-	tt6520504:-	tt6520530:-	
3	tt6520546:-	tt6520554:-	tt6520592:-	tt6520596:-	tt6520598:-	tt6532132:-	tt6582266:-	tt6582294:-	tt6613224:-	tt6662886:-	tt6662916:-	tt6734110:-	tt6763070:-	tt6768622:-	tt6791086:-	tt6869524:-	tt6869550:-	tt6869564:-	tt6892286:-	tt6928416:-	tt6961666:-	tt7354132:-	tt7354134:-	tt7354142:-	tt7354150:-	tt7354154:-	tt7354158:-	tt8040142:-	tt8040154:-	tt8040164:-	tt8040168:-	tt8040172:-	tt8040180:-	tt8040186:-	tt8040196:-	tt8040200:-	tt8040208:-	tt8040218:-	tt8040222:-	tt8040242:-	tt8040260:-	tt8040266:-	tt8040278:-	tt8040280:-	tt8040282:-	tt8040288:-	tt8040290:-	tt8040294:-	tt8040320:-	tt8040328:-	tt8040334:-	tt8040340:-	
4	tt8040346:-	tt8040350:-	tt8040352:-	tt8040358:-	tt8040364:-	tt8040366:-	tt8048312:-	tt8059334:-	tt8148686:-	tt8150386:-	tt8154972:-	tt8197202:-	tt8219106:-	tt8249498:-	tt8281868:-	tt8311262:-	tt8345220:-	tt8377376:-	tt8408930:-	tt8438426:-	tt8470428:-	tt8505126:-	tt8536984:-	tt8568730:-	tt8608812:-	tt8640460:-	tt8671322:-	tt8700638:-	tt8727332:-	tt8764092:-	tt8796128:-	tt8824776:-	tt8868372:-	tt8896236:-	tt8932612:-	tt8964628:-	tt9003854:-	tt9032332:-	tt9061220:-	tt9087486:-	tt9124180:-	tt9157080:-	tt9193150:-	tt9228006:-	tt9257330:-	tt9293670:-	tt9327538:-	tt9367406:-	tt9402134:-	tt9439508:-	tt9485048:-	tt9514396:-	
