1	tt10064154:-	tt10064160:-	tt10064170:-	tt10064174:-	tt10064178:-	tt10064182:-	tt10064186:-	tt10064192:-	tt10064202:-	tt10064208:-	tt10064212:-	tt10064232:-	tt10064238:-	
2	tt10071986:-	tt10071990:-	tt10071992:-	tt10071994:-	tt10071998:-	tt10072000:-	tt10072004:-	tt10072006:-	tt10072010:-	tt10072012:-	tt10072018:-	tt10072020:-	tt10072024:-	tt10072086:-	tt10072112:-	tt10072128:-	tt10072138:-	tt10072160:-	tt10072182:-	tt10144434:-	tt10144480:-	tt10207984:-	tt10306318:-	tt10306332:-	tt10423980:-	tt10424020:-	tt10424038:-	tt10563160:-	tt10563176:-	tt10563182:-	tt10563194:-	tt10563200:-	
3	tt11127682:-	tt11127708:-	tt11643302:-	tt11643340:-	tt11643430:-	tt11643486:-	tt11643556:-	tt11643604:-	tt11643640:-	tt11643702:-	tt11643706:-	tt11643724:-	
4	tt13857560:-	tt13857574:-	tt13857588:-	tt13857602:-	tt13857614:-	tt13857636:-	tt13857644:-	tt13857670:-	tt13857688:-	tt13857694:-	tt13857700:-	tt13857706:-	tt13857712:-	tt13857728:-	tt13857732:-	tt13857738:-	tt13857744:-	tt13857750:-	tt13857768:-	tt13857772:-	tt13857960:-	
5	tt13857984:-	tt13857992:-	tt13858014:-	tt13858034:-	tt13858052:-	tt13858078:-	tt13858102:-	tt13858108:-	tt13858130:-	tt13858136:-	tt13858156:-	tt13858160:-	
