1	tt2228404:-	tt2228414:-	tt2228418:-	
2	tt2228424:-	tt2228426:-	tt2228428:-	tt2228430:-	
3	tt2228434:-	tt2228436:-	tt2228438:-	tt2228440:-	tt2228444:-	
4	tt2228446:-	tt2228452:-	tt2228462:-	tt2228476:-	tt2228480:-	
5	tt2228496:-	tt2228498:-	tt2228522:-	tt2228538:-	tt2228552:-	
6	tt2842890:-	tt2855158:-	tt2898780:-	tt2913606:-	tt2913654:-	
7	tt3661446:-	tt3666842:-	tt3679518:-	tt5350184:-	
\N	tt3731646:-	
8	tt5327728:-	tt5327756:-	tt5327786:-	tt5327806:-	tt5327822:-	
