1	tt1308230:7.8	tt1308231:7.8	tt1308232:4.9	tt1309091:7.8	tt1310403:-	tt1317524:7.6	tt1320652:8.0	
2	tt1577235:-	tt1587502:-	tt1591519:-	tt1593427:-	tt1601275:-	tt1602179:-	tt1605134:-	tt1605135:-	
3	tt1819836:8.4	tt1826138:-	tt1832597:-	tt1832598:-	tt1837777:-	tt1843431:-	tt1852283:-	tt1858000:-	
