1	tt0739550:7.4	tt0739559:6.5	tt0739560:6.1	tt0739561:6.2	tt0739563:6.5	tt0739565:6.2	tt0739566:5.5	tt0739569:6.4	tt0739574:6.6	tt0739577:6.0	tt0739578:6.5	tt0739579:7.6	tt0739582:6.1	tt0739584:7.2	tt0739589:5.6	tt0739590:5.8	tt0739594:6.6	tt0739596:6.6	tt0739600:6.2	tt0739606:7.3	tt0739607:6.0	tt0739608:6.0	tt0772673:-	
3	tt0739551:6.7	tt0739554:6.3	tt0739555:6.5	tt0739558:6.0	tt0739567:5.6	tt0739570:6.6	tt0739571:7.0	tt0739575:6.1	tt0739580:6.0	tt0739581:6.5	tt0739585:6.7	tt0739588:6.7	tt0739591:5.8	tt0739592:6.9	tt0739593:6.2	tt0739597:6.3	tt0739598:6.0	tt0739601:6.3	tt0739602:6.6	tt0739603:6.0	tt1119570:6.6	tt1119571:6.3	
2	tt0739552:5.8	tt0739553:6.4	tt0739556:5.3	tt0739557:5.9	tt0739562:6.0	tt0739564:5.9	tt0739568:5.8	tt0739572:6.4	tt0739573:6.0	tt0739576:6.0	tt0739583:5.9	tt0739586:5.8	tt0739587:5.8	tt0739595:5.9	tt0739599:5.5	tt0739604:6.4	tt0739605:6.7	tt0739609:6.0	tt0739610:6.9	tt0739611:5.9	tt0973732:6.1	tt1119569:6.5	
