40	tt3481108:-	tt3481118:-	tt3481174:-	tt3481192:-	tt3483324:-	tt3483356:-	tt3483394:-	tt3483468:-	tt3485736:-	tt3485744:-	tt3487486:-	tt3487502:-	tt3488496:-	tt3488538:-	tt3488782:-	tt3490670:-	tt3490700:-	tt3491202:-	tt3493888:-	tt4265072:-	tt4265112:-	tt4265120:-	tt4265122:-	tt4265130:-	tt4265136:-	tt4265146:-	tt4265154:-	tt4265158:-	tt4265168:-	
42	tt5448836:-	tt5448880:-	tt5448936:-	tt5448942:-	tt5456148:-	tt5456156:-	tt5456192:-	tt5456248:-	tt5458894:-	tt5459380:-	tt5459734:-	tt5459750:-	tt5461598:-	tt5461614:-	tt5461622:-	tt5461644:-	tt5464102:-	tt5464222:-	tt5464956:-	tt5465066:-	tt5465980:-	tt5466004:-	tt5466032:-	tt5466036:-	tt5468084:-	tt5468298:-	tt5468304:-	tt5471770:-	tt5472128:-	
1	tt5472266:-	tt5472310:-	tt5472318:-	tt6597176:-	tt6597182:-	tt6597186:-	tt6597188:-	tt6597190:-	tt6597192:-	tt6597476:-	tt6597480:-	tt6597494:-	tt6602868:-	
2	tt5488454:-	tt5488456:-	tt6597506:-	tt6597512:-	tt6597528:-	tt6597530:-	tt6597536:-	tt6597540:-	tt6597548:-	tt6597552:-	tt6597558:-	tt6602884:-	
3	tt5488460:-	tt5488468:-	tt6597596:-	tt6597600:-	tt6597606:-	tt6597618:-	tt6597642:-	tt6597646:-	tt6597652:-	tt6597658:-	tt6597660:-	tt6602910:-	
4	tt5488484:-	tt5488488:-	tt5488490:-	tt6597690:-	tt6597692:-	tt6597694:-	tt6597708:-	tt6597734:-	tt6597740:-	tt6597750:-	tt6597756:-	tt6597762:-	tt6602918:-	
5	tt5509714:-	tt5509720:-	tt5509722:-	tt6571804:-	tt6571826:-	tt6571842:-	tt6571856:-	tt6571864:-	tt6571866:-	tt6571872:-	tt6571874:-	tt6571908:-	tt6571944:-	
6	tt5589348:-	tt5589360:-	tt5589364:-	tt5589366:-	tt5589370:-	tt5589372:-	tt5589376:-	tt5589378:-	tt5589398:-	tt5589450:-	tt6612886:-	tt6612902:-	
7	tt5589468:-	tt5640142:-	tt5640146:-	tt5640148:-	tt5640154:-	tt5640164:-	tt5640206:-	tt5640234:-	tt5640260:-	tt5640272:-	tt5640282:-	tt6612942:-	tt6612956:-	tt6612970:-	
8	tt5640308:-	tt6559588:-	tt6559590:-	tt6559594:-	tt6559602:-	tt6559640:-	tt6559644:-	tt6559650:-	tt6559660:-	tt6559686:-	tt6559702:-	tt6559720:-	
9	tt6345316:-	tt6559362:-	tt6559364:-	tt6559492:-	tt6559496:-	tt6559500:-	tt6559502:-	tt6559504:-	tt6559508:-	tt6559510:-	tt6559514:-	tt6559516:-	tt6559518:-	tt6559522:-	tt6559528:-	tt6559530:-	tt6559534:-	tt6559536:-	tt6559538:-	tt6559540:-	tt6559546:-	tt6559548:-	tt6559550:-	tt6559554:-	tt6559556:-	tt6559560:-	tt6559564:-	tt6559566:-	tt6559570:-	
10	tt6345340:-	tt6559140:-	tt6559142:-	tt6559144:-	tt6559146:-	tt6559148:-	tt6559152:-	tt6559154:-	tt6559156:-	tt6559160:-	tt6559164:-	tt6559168:-	tt6559172:-	tt6559174:-	tt6559176:-	tt6559178:-	tt6559180:-	tt6559182:-	tt6559188:-	tt6559192:-	tt6559194:-	tt6559196:-	tt6559200:-	tt6559204:-	tt6559208:-	tt6559214:-	tt6559216:-	tt6559224:-	tt6559226:-	
11	tt6345348:-	tt6556702:-	tt6556708:-	tt6556718:-	tt6556720:-	tt6556726:-	tt6556728:-	tt6556734:-	tt6556738:-	tt6556744:-	tt6556746:-	tt6556754:-	tt6556756:-	tt6556762:-	tt6556764:-	tt6556770:-	tt6556774:-	tt6556778:-	tt6556780:-	tt6556782:-	tt6556786:-	tt6556788:-	tt6556792:-	tt6556796:-	tt6556798:-	tt6556802:-	tt6556806:-	tt6556808:-	tt6556812:-	
12	tt6345356:-	tt6553128:-	tt6553138:-	tt6553150:-	tt6553166:-	tt6553176:-	tt6553182:-	tt6553190:-	tt6553204:-	tt6553208:-	tt6553212:-	tt6553216:-	tt6553220:-	tt6553222:-	tt6553226:-	tt6553232:-	tt6553234:-	tt6553242:-	tt6553250:-	tt6553252:-	tt6553254:-	tt6553258:-	tt6553270:-	tt6553280:-	tt6553296:-	tt6553306:-	tt6553312:-	tt6553318:-	tt6553324:-	
13	tt6345358:-	tt6552774:-	tt6552780:-	tt6552782:-	tt6552786:-	tt6552788:-	tt6552792:-	tt6552794:-	tt6552796:-	tt6552804:-	tt6552812:-	tt6552826:-	tt6552838:-	tt6552846:-	tt6552856:-	tt6552874:-	tt6552890:-	tt6552898:-	tt6552912:-	tt6552918:-	tt6552922:-	tt6552926:-	tt6552930:-	tt6552932:-	tt6552936:-	tt6552948:-	tt6552954:-	tt6552960:-	tt6552966:-	
14	tt6345362:-	tt6552562:-	tt6552564:-	tt6552566:-	tt6552570:-	tt6552576:-	tt6552578:-	tt6552580:-	tt6552582:-	tt6552594:-	tt6552608:-	tt6552622:-	tt6552626:-	tt6552628:-	tt6552630:-	tt6552634:-	tt6552640:-	tt6552652:-	tt6552664:-	tt6552678:-	tt6552700:-	tt6552712:-	tt6552724:-	tt6552746:-	tt6552756:-	tt6552760:-	tt6552764:-	tt6552766:-	tt6552770:-	
15	tt6345368:-	tt6545824:-	tt6545830:-	tt6545834:-	tt6545844:-	tt6545860:-	tt6545866:-	tt6545884:-	tt6545900:-	tt6545910:-	tt6545922:-	tt6545930:-	tt6545936:-	tt6545944:-	tt6545948:-	tt6545966:-	tt6545982:-	tt6546010:-	tt6546014:-	tt6546018:-	tt6546022:-	tt6546030:-	tt6546034:-	tt6546042:-	tt6546044:-	tt6546050:-	tt6546052:-	tt6546056:-	tt6546062:-	
16	tt6345370:-	tt6539160:-	tt6539166:-	tt6539170:-	tt6539178:-	tt6539180:-	tt6539188:-	tt6539196:-	tt6539200:-	tt6539204:-	tt6539208:-	tt6539212:-	tt6539216:-	tt6539222:-	tt6539226:-	tt6539236:-	tt6539244:-	tt6539250:-	tt6539260:-	tt6539264:-	tt6539270:-	tt6539276:-	tt6539278:-	tt6539280:-	tt6539282:-	tt6539292:-	tt6539294:-	tt6539298:-	tt6539306:-	
17	tt6345376:-	tt6535946:-	tt6535952:-	tt6535956:-	tt6535962:-	tt6535972:-	tt6535976:-	tt6535982:-	tt6535984:-	tt6535986:-	tt6535990:-	tt6535992:-	tt6535996:-	tt6536000:-	tt6536002:-	tt6536006:-	tt6536008:-	tt6536012:-	tt6536018:-	tt6536022:-	tt6536028:-	tt6536034:-	tt6536036:-	tt6536040:-	tt6536044:-	tt6536048:-	tt6536052:-	tt6536054:-	tt6536062:-	
