1	tt2149693:7.3	tt2149695:7.1	tt2237093:5.2	tt2254863:7.1	tt2272301:6.9	tt2298851:7.0	tt2311765:6.7	tt2324537:7.1	tt2333627:7.1	
2	tt2479272:7.1	tt2482100:6.9	tt2494254:6.9	tt3703956:6.1	tt3703958:6.0	tt3703962:6.0	tt3703966:5.5	tt3703968:5.6	
3	tt3691816:6.4	tt3691818:6.1	tt3691822:6.3	tt3691824:6.1	tt3691826:6.3	tt3691828:6.1	tt3691834:6.0	tt3692078:6.2	
4	tt5050748:6.3	tt5058470:5.3	tt5058472:5.0	tt5058474:5.2	tt5307590:5.2	tt5307598:5.3	tt5307600:5.2	tt5307604:4.4	
