1	tt2504490:7.2	tt2504496:7.5	tt2504498:7.7	tt2504500:7.2	tt2504504:7.2	tt2504506:7.2	tt2504510:7.1	tt2504512:6.8	tt2504522:7.4	tt2504530:7.2	tt2504534:7.2	tt2504536:6.6	tt2504540:7.6	
2	tt3558242:7.7	tt3558248:7.4	tt3558250:7.7	tt3558256:8.0	tt3558258:7.7	tt3558268:7.7	tt3558998:8.0	tt3605250:7.7	tt3622526:7.4	tt3627118:7.2	tt3629590:7.7	tt3629598:6.6	
3	tt4327788:7.3	tt4336138:7.2	tt4339664:7.3	tt4339670:7.3	tt4339682:7.9	tt4339694:7.9	tt4363756:7.4	tt4363762:7.4	tt4378024:7.2	tt4378026:7.4	tt4378032:7.2	tt4378034:7.6	
4	tt5313424:8.3	tt5332664:7.6	tt5337866:-	tt5352978:-	tt5370196:-	tt5425540:-	tt5450604:-	tt5471292:-	tt5528254:-	tt5528256:-	tt5528258:-	tt5528260:-	
