10	tt11864306:-	tt11864320:-	tt11864340:-	tt11864406:-	tt11864428:-	tt11864446:-	tt11864466:-	tt11864484:-	tt11864496:-	tt11864502:-	tt11867310:-	tt11867314:-	tt11867326:-	tt11867332:-	tt11867364:-	tt11867366:-	tt11867370:-	tt11867376:-	
\N	tt13535968:-	
3	tt9191356:-	tt9196096:-	tt9196142:-	tt9196162:-	tt9196178:-	tt9202718:-	tt9202728:-	tt9252422:-	tt9252428:-	tt9252432:-	tt9268124:-	tt9268168:-	tt9268184:-	tt9268202:-	tt9268222:-	tt9268252:-	tt9268274:-	tt9268400:-	
1	tt9268462:-	tt9303152:-	tt9303160:-	tt9303172:-	tt9303194:-	tt9303258:-	tt9303264:-	tt9318616:-	tt9323280:-	tt9340844:-	tt9347278:-	tt9347286:-	tt9363172:-	tt9370708:-	tt9370752:-	tt9370834:-	tt9370864:-	tt9376658:-	tt9380616:-	tt9427154:-	tt9427182:-	
2	tt9286546:-	tt9301898:-	tt9301902:-	tt9301906:-	tt9318486:-	tt9318494:-	tt9318502:-	tt9323258:-	tt9323266:-	tt9323270:-	tt9340826:-	tt9347322:-	tt9351804:-	tt9357494:-	tt9427266:-	tt9427282:-	tt9427296:-	tt9427302:-	
4	tt9430636:-	tt9430642:-	tt9430650:-	tt9430658:-	tt9430662:-	tt9430668:-	tt9430674:-	tt9430680:-	tt9430682:-	tt9430690:-	tt9430862:-	tt9430876:-	tt9430882:-	tt9430906:-	tt9430924:-	tt9430952:-	tt9430974:-	tt9431000:-	
5	tt9431256:-	tt9431264:-	tt9431272:-	tt9431284:-	tt9431304:-	tt9431336:-	tt9431352:-	tt9431364:-	tt9431366:-	tt9431372:-	tt9441702:-	tt9441708:-	tt9441716:-	tt9441740:-	tt9441748:-	tt9441762:-	tt9441772:-	tt9441792:-	
6	tt9441808:-	tt9441816:-	tt9441820:-	tt9441846:-	tt9441856:-	tt9441866:-	tt9441874:-	tt9441886:-	tt9441910:-	tt9441922:-	tt9442012:-	tt9442026:-	tt9442042:-	tt9442072:-	tt9442094:-	tt9442108:-	tt9442114:-	tt9442122:-	
7	tt9442128:-	tt9442134:-	tt9442142:-	tt9442166:-	tt9442236:-	tt9442270:-	tt9442302:-	tt9442312:-	tt9442320:-	tt9442322:-	tt9442346:-	tt9442350:-	tt9442352:-	tt9442386:-	tt9442406:-	tt9442436:-	tt9442440:-	tt9442454:-	
8	tt9442474:-	tt9442494:-	tt9442516:-	tt9442556:-	tt9442570:-	tt9442662:-	tt9442698:-	tt9442784:-	tt9442810:-	tt9442830:-	tt9442918:-	tt9442924:-	tt9443138:-	tt9443470:-	tt9443522:-	tt9443596:-	tt9443628:-	tt9443680:-	
9	tt9443728:-	tt9443784:-	tt9443864:-	tt9443918:-	tt9443958:-	tt9443982:-	tt9444030:-	tt9444090:-	tt9444106:-	tt9444164:-	tt9444666:-	tt9444808:-	tt9444828:-	tt9450088:-	tt9450126:-	tt9450714:-	tt9450736:-	
