1	tt0861315:-	tt1019846:-	tt1203454:-	tt1203455:-	tt1203458:-	tt1203459:-	tt1203460:-	tt1203461:-	tt1203462:-	
\N	tt0942263:-	
2	tt1022835:-	tt1022836:-	tt1026389:-	tt1026390:-	tt1203456:-	tt1203457:-	tt1203463:-	tt1203464:-	
3	tt1181761:-	tt1184649:-	tt1191829:-	tt1191830:-	tt1191831:-	tt1194062:-	tt1194063:-	tt1194064:-	
