1	tt0144181:7.3	tt0542435:8.1	tt0542438:-	tt0542443:7.3	tt0542451:7.7	tt0542453:8.4	tt0542456:-	tt0542461:-	tt0542464:8.4	
5	tt0403743:8.5	tt0542429:7.8	tt0542431:7.5	tt0542432:8.0	tt0542434:7.2	tt0542454:8.5	tt0542457:7.3	tt0542468:7.2	
4	tt0403744:7.5	tt0542430:7.2	tt0542442:8.1	tt0542449:8.8	tt0542450:8.2	tt0542455:8.1	tt0542458:7.6	tt0542469:7.7	
2	tt0542436:-	tt0542437:8.4	tt0542439:9.4	tt0542440:9.0	tt0542444:8.0	tt0542452:8.3	tt0542460:8.6	tt0542466:8.0	
3	tt0542441:8.0	tt0542445:9.4	tt0542446:6.2	tt0542447:9.3	tt0542459:8.4	tt0542462:7.2	tt0542465:8.3	tt0542467:8.3	
6	tt0542448:7.8	tt0858639:8.9	tt0858640:8.3	tt0864470:7.1	tt0864471:7.5	tt0867732:8.0	tt0871911:4.4	tt0871912:8.0	
