3	tt10137530:8.2	tt10137534:8.6	tt10137536:8.5	tt10178414:7.9	tt10422834:8.4	tt10422840:8.5	tt10422844:8.1	tt10422848:8.6	tt10422850:8.6	tt10422856:8.9	tt10422858:8.3	tt10422864:9.1	tt8960592:9.0	tt9063590:8.5	tt9091726:7.9	tt9091776:8.0	tt9091850:8.0	
4	tt10911674:9.2	tt10957646:8.6	tt10957650:8.5	tt10995420:8.5	tt11043758:8.7	tt11043766:8.4	tt11569516:8.5	tt11569520:8.6	tt11722084:8.7	tt11749586:7.6	tt11797842:8.2	tt11797856:7.8	tt11797864:7.9	tt11880618:8.5	tt11929628:7.8	tt11929630:8.0	tt11929632:8.3	tt11969812:8.2	
5	tt13123246:8.0	tt13123250:8.4	tt13123252:7.4	tt13253114:7.7	tt13253116:7.4	tt14283610:7.1	tt14334144:6.7	tt14378050:7.2	tt14378056:7.8	
1	tt6454638:7.5	tt6496610:7.6	tt6523204:7.9	tt6545146:8.3	tt6580688:7.9	tt6601692:8.1	tt6631098:8.7	tt6655868:8.2	
2	tt7882248:8.5	tt7967490:8.2	tt7998342:8.8	tt8028626:8.0	tt8060470:7.9	tt8103590:8.1	tt8131926:7.4	tt8168650:8.5	
