1	tt12866114:-	tt12866120:-	tt12866122:-	tt12866132:-	tt12866142:-	tt12866146:-	
2	tt12866164:-	tt12866174:-	tt12866190:-	tt12866192:-	tt12866204:-	tt12866210:-	tt12866222:-	
3	tt12866250:-	tt12866252:-	tt12866270:-	tt12866274:-	tt12866280:-	tt12866288:-	tt12866294:-	
