9	tt10422258:-	tt10422272:-	tt10422274:-	tt10422278:-	
10	tt11167828:-	tt11167830:-	tt11214986:-	
1	tt2873184:9.2	tt2885410:7.4	tt2908224:8.0	tt2916336:7.5	
2	tt3505572:7.2	tt3520672:8.7	tt3534458:6.3	tt3560532:7.7	
3	tt4219418:8.0	tt4219420:7.9	tt4224042:7.4	tt4259462:6.7	
4	tt4876908:7.8	tt4876910:7.7	tt4893370:7.1	tt4963970:7.4	tt4963974:7.3	
5	tt6196218:8.0	tt6196222:8.1	tt6227494:6.6	tt6227506:8.5	tt6265666:7.8	tt6265668:7.0	tt6284252:8.5	tt6314418:6.9	
6	tt7491710:7.9	tt7527832:8.2	tt7552288:7.6	tt7585606:-	tt7585608:7.4	tt7632864:-	tt7685540:-	tt7685542:8.0	
7	tt9024946:8.5	tt9024952:7.4	tt9109060:8.1	tt9109066:8.4	
8	tt9531886:8.1	tt9618622:8.2	tt9618626:-	tt9618634:-	
