5	tt1146193:-	tt1528956:-	tt1528957:-	tt1528958:-	tt1528959:-	tt1538663:-	tt1572810:-	tt1630860:-	tt1630861:-	tt1630862:-	tt1637035:-	tt1641667:-	tt1650606:-	tt1654225:-	tt1666210:-	tt1671070:-	tt1671803:-	tt1677760:-	tt1688291:-	tt1715429:-	tt1831039:-	tt1833330:-	tt1842028:-	tt1842029:-	tt1842030:-	tt1842621:-	tt1845437:-	tt1845438:-	tt1845439:-	tt1845440:-	tt1845441:-	tt1850577:-	tt1853945:-	tt1868400:-	
1	tt1515362:-	tt1526373:-	tt1526374:-	tt1526375:-	tt1527355:-	tt1527356:-	tt1527357:-	tt1527358:-	tt1527359:-	
2	tt1527360:-	tt1527361:-	tt1527362:-	tt1527363:-	tt1527364:-	tt1527365:-	tt1527366:-	tt1527892:-	tt1527893:-	tt1528124:-	
3	tt1527894:-	tt1527895:-	tt1527896:-	tt1527897:-	tt1527898:-	tt1528123:-	tt1528389:-	tt1528390:-	tt1528391:-	tt1528960:-	
4	tt1528392:-	tt1528393:-	tt1528394:-	tt1528395:-	tt1528396:-	tt1528397:-	tt1528953:-	tt1528954:-	tt1528955:-	tt1528961:-	
\N	tt1757074:-	tt2133542:-	tt2163383:-	
