6	tt10099256:-	tt12150092:-	tt12200232:-	tt12235392:-	tt12287984:8.4	tt12419546:8.4	tt12445392:8.4	tt12445394:-	tt12445396:-	tt12584888:-	tt13567292:-	tt13567312:-	
1	tt12457780:-	tt3026018:-	tt3026020:-	tt3026022:-	tt3026024:-	
2	tt12459226:-	tt3587464:-	tt3684452:-	tt3684460:-	tt3684466:-	tt3914734:-	tt3914738:-	tt3914742:-	tt3914744:-	
3	tt4996416:-	tt5048960:-	tt6035438:-	tt6035440:-	tt6035442:-	tt6035444:-	
4	tt5911508:-	tt6035446:-	tt6035448:-	tt6035450:-	tt6035452:-	tt6035458:-	tt6035460:-	tt6035462:-	
5	tt8866788:8.6	tt9735838:8.3	tt9735842:8.7	tt9735846:8.8	tt9735848:8.8	tt9752256:-	tt9752260:-	tt9752272:9.2	
