1	tt10053300:-	tt10053302:-	tt10053304:-	tt10053306:-	tt10053310:-	tt10053312:-	tt10053316:-	tt10053318:-	tt10053322:-	tt10053324:-	tt10053326:-	tt10053328:-	tt10053332:-	tt10053334:-	tt10053336:-	tt10053340:-	tt2242911:-	
5	tt10053358:-	tt10053360:-	tt10053366:-	tt10053370:-	tt10053372:-	tt10053376:-	tt10053378:-	tt10053380:-	tt5161644:-	tt5161646:-	tt5161650:-	tt5161656:-	tt5161662:-	tt5161666:-	tt5161670:-	tt5161676:-	tt5338288:-	
3	tt10053390:-	tt10053398:-	tt10053402:-	tt10053404:-	tt10053410:-	tt10053412:-	tt10053414:-	tt10053416:-	tt10053418:-	tt10053420:-	tt10053424:-	tt10053428:-	tt10053430:-	tt10053432:-	tt10053434:-	tt10053436:-	tt13683850:-	
4	tt10053438:-	tt10053442:-	tt10053444:-	tt10053446:-	tt10053448:-	tt10053450:-	tt10053454:-	tt10053456:-	tt10053458:-	tt10053460:-	tt10053462:-	tt10053466:-	tt10053470:-	tt10053472:-	tt10053474:-	tt10053478:-	tt5846192:-	
6	tt10053494:-	tt10053496:-	tt10053498:-	tt10053502:-	tt10053506:-	tt10053510:-	tt10053516:-	tt10053518:-	tt10053522:-	tt10053528:-	tt10053532:-	tt10053538:-	tt10053540:-	tt10053542:-	tt10053546:-	tt6084016:-	
8	tt10053562:-	tt10053564:-	tt10053568:-	tt10053570:-	tt10053572:-	tt10053574:-	tt10053576:-	tt10053580:-	tt10053582:-	tt10053584:-	tt10053586:-	tt8986700:-	tt9278216:-	tt9278220:-	tt9278248:-	tt9320188:-	
9	tt10056280:-	tt11025834:-	tt11025844:-	tt11025854:-	tt11025866:-	tt11025874:-	tt11025882:-	tt11025888:-	tt11025892:-	tt11060586:-	tt11060596:-	tt11060610:-	tt11060622:-	tt11100980:-	tt11100982:-	tt11100988:-	tt11100990:-	
10	tt12992668:-	tt12992672:-	
2	tt2464966:-	tt2467188:-	tt2480914:-	tt2481156:-	tt2495894:-	tt2495896:-	tt2506928:-	tt2514912:-	tt2518714:-	tt2518718:-	tt2532452:-	tt2532988:-	tt2548952:-	tt2548998:-	tt2561426:-	tt2613362:-	
7	tt7353544:-	tt7353548:-	tt7533046:-	tt7533048:-	tt7600746:-	tt7600752:-	tt7728684:-	tt7728688:-	tt7728690:-	tt7728694:-	tt7728696:-	tt7728698:-	tt7728702:-	tt7728704:-	tt7728706:-	tt7728708:-	tt7728962:-	
