2	tt0701019:4.1	tt0779226:4.2	tt0873370:4.4	tt0873371:4.1	tt0873372:4.2	tt0873373:3.9	tt0873374:3.9	tt0873375:4.0	tt0873376:4.4	tt0873377:5.0	tt1283446:4.2	
3	tt0701028:3.3	tt0701031:3.5	tt0778445:3.8	tt0785649:3.5	tt0790339:4.3	tt0816937:4.0	tt0816938:4.9	tt0816939:3.4	tt0816940:3.5	tt0816941:4.0	tt0816942:3.8	tt0816945:4.4	tt0816946:4.0	tt0844439:3.8	tt1028480:3.7	tt1089475:4.9	
1	tt0701029:5.4	tt0701030:3.6	tt0779220:4.9	tt0779221:5.1	tt0779222:4.9	tt0779223:4.7	tt0779224:4.7	tt0779225:4.6	tt0781976:4.3	
4	tt0816943:3.9	tt0816944:3.6	tt0821719:3.7	tt0821720:3.6	tt0828320:3.8	tt0831238:4.0	tt0833185:4.2	tt0837019:3.6	tt0839488:3.7	tt0842295:5.3	
5	tt1041326:6.2	tt1044805:4.6	tt1045489:3.3	tt1045490:4.3	tt1045491:4.0	tt1048911:5.0	tt1048912:3.0	tt1048913:4.8	tt1048914:3.8	tt1048915:4.6	
