1	tt0847455:-	tt0852435:-	tt0907087:-	tt0907088:-	tt0907090:-	tt0907093:-	
3	tt0847456:-	tt0852433:-	tt0907092:-	tt0955094:-	tt0955095:-	tt0955096:-	tt0955097:-	
2	tt0852432:-	tt0852434:-	tt0907084:-	tt0907085:-	tt0907086:-	tt0907089:-	tt0907091:-	
