1	tt11639520:-	tt11639526:-	tt11639530:-	tt11639532:-	tt11639536:-	
2	tt11639540:-	tt11639544:-	tt11639546:-	tt11639552:-	tt11639556:-	
3	tt11639560:-	tt11639568:-	tt11639572:-	tt11639576:-	tt11639580:-	
4	tt11639588:-	tt11639590:-	tt11639592:-	tt11639594:-	tt11639600:-	
5	tt11639696:-	tt11639706:-	tt11639714:-	tt11639718:-	tt11639722:-	
6	tt11639732:-	tt11639742:-	tt11639750:-	tt11639752:-	tt11639754:-	
7	tt11639762:-	tt11639764:-	tt11639766:-	tt11639770:-	tt11639772:-	
8	tt11639778:-	tt11639794:-	tt11639806:-	tt11639810:-	tt11639812:-	
9	tt11639814:-	tt11639816:-	tt11639818:-	tt11639820:-	tt11639822:-	
10	tt11639824:-	tt11639830:-	tt11639836:-	tt11639840:-	tt11651556:-	
