1	tt1873223:8.0	tt1873224:7.6	tt3067822:7.5	tt3080654:7.6	tt3080660:8.0	tt3080668:7.6	tt3080670:7.8	
2	tt1873225:8.5	tt2048400:8.3	tt5720516:7.6	tt5720518:7.5	tt5720520:7.9	tt5720522:7.9	
3	tt2347318:8.1	tt2579546:7.9	tt3189070:8.2	tt3504116:7.8	tt3504128:7.9	tt3504134:7.6	
4	tt3430486:8.5	
